model,quarter,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
Control,2021Q1,248,107,141,43.145161290322584,0.04739147673394075,11.753086230017306,1.092002621250975,10.81301760288537,2.0,-1.0,4,7,0,0.04739147673394075,1.2125774022563827,-0.6653926452201269,0.07699874204206084,-0.10352605766849848,0.19830901113638,96,37.760416666666664,1.0869386013836773
Control,2021Q2,265,110,155,41.509433962264154,0.038229611905279196,10.130847154898987,1.0733255517765767,26.123014869400425,2.0,-1.0,5,8,0,0.038229611905279196,1.2189270403166612,-0.5342437687559823,0.07487809286433858,-0.10853145010882441,0.1849906739193828,137,101.04166666666667,0.3878130914654075
Control,2021Q3,304,135,167,44.4078947368421,0.08154008221447914,24.78818499320166,1.1679363141560273,10.1893660010644,2.0,-1.0,8,8,2,0.08154008221447914,1.2021761820125154,-0.31023974134469556,0.06894953275952781,-0.053601001994195374,0.21668116642315366,75,182.57638888888889,2.4327504763900167
Control,2021Q4,300,101,198,33.666666666666664,-0.1669422058630362,-50.08266175891086,0.7171233630932853,51.171429952250875,2.0,-1.0,5,15,1,-0.1669422058630362,1.1188994747802807,-1.0,0.06459969129605259,-0.2935576008032993,-0.040326810922773154,293,276.0451388888889,-0.9787231235406951
Control,2022Q1,269,109,159,40.520446096654275,-0.013389414330008871,-3.6017524547723863,0.9742776633140657,33.06640512579801,2.0,-1.0,8,8,1,-0.013389414330008871,1.1701455515207722,-0.6395670551809249,0.07134503345226129,-0.15322567989644098,0.12644685123642324,255,368.22222222222223,-0.10892482690724496
Control,2022Q2,245,96,148,39.183673469387756,-0.003207303637327322,-0.7857893911451939,0.9938291480450382,16.581619888889904,2.0,-1.0,8,7,1,-0.003207303637327322,1.1818763422703755,-0.6207911018287608,0.07550730978043908,-0.15120163080698792,0.14478702353233328,139,455.24305555555554,-0.047389181298969
Control,2022Q3,297,111,185,37.37373737373738,-0.08922344958834265,-26.499364527737768,0.8421952750923136,30.56110774356245,2.0,-1.0,6,13,1,-0.08922344958834265,1.1545395819826223,-1.0,0.0669931813798687,-0.2205300850928853,0.042083185916200014,293,546.0173611111111,-0.867094372039565
Control,2022Q4,275,113,162,41.09090909090909,-0.07065201457102858,-19.42930400703286,0.8674703569584243,30.28303660430026,2.0,-1.0,7,12,0,-0.07065201457102858,1.1315530864392624,-0.8063381285145854,0.06823521851068408,-0.20439304285196935,0.0630890137099122,273,87.77083333333333,-0.6415903484485389
Control,2023Q1,274,130,144,47.44525547445255,0.14688709168464478,40.24706312159267,1.31251568478413,15.009113788069868,2.0,-1.0,5,8,0,0.14688709168464478,1.2146476009074652,-0.25133104209241863,0.07337954513186952,0.003063183226180516,0.290711000143109,83,27.09722222222222,2.681508294885699
Control,2023Q2,277,129,148,46.57039711191336,0.09217638810385298,25.532859504767274,1.1918221866954821,12.97046335624932,2.0,-1.0,6,7,0,0.09217638810385298,1.1891739089543274,-0.2461253878969939,0.07145053540655553,-0.047866661292995855,0.23221943750070181,125,824.9548611111111,1.9685387332338629
Control,2023Q3,283,120,163,42.40282685512368,0.06950109194213942,19.668809019625456,1.1360622310343356,12.132751691480912,2.0,-1.0,6,10,0,0.06950109194213942,1.2272593695490646,-0.4719097505556128,0.07295299711801874,-0.07348678240917729,0.21248896629345615,100,30.04861111111111,1.6211334015379244
Control,2023Q4,288,105,182,36.458333333333336,-0.06377109366589859,-18.366074975778794,0.8833445321238067,25.92167257819318,2.0,-1.0,5,14,1,-0.06377109366589859,1.1584060644791652,-1.0,0.06825973196340324,-0.19756016831416892,0.07001798098237175,177,1004.0763888888889,-0.7085219875522
BOS,2021Q1,159,73,86,45.911949685534594,0.16432415538412584,26.127540706076008,1.3319383101294888,7.515412971678193,2.0,-1.0,5,5,0,0.16432415538412584,1.2780223110205158,-0.3801703071992408,0.10135376203379873,-0.03432921820211965,0.36297752897037133,35,19.71875,3.4765276112620227
BOS,2021Q2,181,75,106,41.43646408839779,0.052500657522823506,9.502619011631054,1.0992318493211906,25.009958220295044,2.0,-1.0,7,7,0,0.052500657522823506,1.2523925534797917,-1.0,0.09308960538050703,-0.12995496902297027,0.2349562840686173,90,94.21875,0.3799534140732744
BOS,2021Q3,215,100,114,46.51162790697674,0.1693423922383755,36.40861433125073,1.3642258000398741,7.595511874091287,2.0,-1.0,7,6,1,0.1693423922383755,1.2421004673684497,-0.1558749142373068,0.08471054877989123,0.0033097166297886838,0.3353750678469623,32,182.52777777777777,4.79343787947229
