N,target_hit_rate,Avg_MFE,Avg_MAE,MFE_MAE,gross_AvgR,net_AvgR,net_TotalR,net_PF,MaxDD,decile
329,0.2887537993920973,0.6932017467884384,0.6929180219366631,4.612718832608899,-0.1337386018237082,-0.25595215848224384,-84.20826014065823,0.6793070862534089,89.82832952943048,1
329,0.3829787234042553,0.7694272815055214,0.6168253937550353,4.452209804655803,0.15320619943952263,0.033357696265637796,10.974682071394835,1.0485709645160466,20.190891767421874,2
329,0.3100303951367781,0.6778852789760611,0.724754834765005,3.1741513298368877,-0.059881965656166276,-0.20518445135614816,-67.50568449617275,0.7390216296873143,80.3557066095756,3
328,0.34146341463414637,0.7161280529931303,0.6737001450136711,4.93060916541792,0.039448375945451544,-0.11876539153810096,-38.955048424497114,0.8436906252877303,56.02636504961516,4
329,0.3617021276595745,0.7597581275689231,0.6489262627635797,3.878185068579886,0.08780378579593275,-0.06673783683397316,-21.956748318377173,0.909081659621572,47.08311699841815,5
329,0.3495440729483283,0.7293885002091339,0.6671792965109463,4.123721414266592,0.0486322188449848,-0.10892599122045213,-35.83665111152875,0.8556153519065236,63.53917021310778,6
328,0.3567073170731707,0.718509218013497,0.6700781625008887,4.086637785100755,0.0701219512195122,-0.09109910718309899,-29.88050715605647,0.8783361090043714,59.70871831909281,7
329,0.3525835866261398,0.7621999712964646,0.6736076164635965,4.8321054843631,0.057750759878419454,-0.10198261033552534,-33.55227880038784,0.8641887044406742,48.53151405423132,8
329,0.3556231003039514,0.7646647908885131,0.7080680335717386,4.679247058023711,0.0668693009118541,-0.0952823369012367,-31.347888840506876,0.8733455517938539,55.49073426995294,9
329,0.3617021276595745,0.7707947900236141,0.6529720185786627,4.135873339102521,0.0851063829787234,-0.08931162399837744,-29.38352429546618,0.8805255340655068,55.59301661814009,10
