timestamp,body_atr,range_atr,close_location,ret_3_atr,ret_6_atr,volume_z,minute_of_day,day_of_week,trade_count,buy_vol,sell_vol,total_vol,delta,delta_norm,avg_trade_size,trades_per_sec,vol_per_sec,large_trade_pct,delta_30s,delta_norm_30s,trades_per_sec_30s,delta_60s,delta_norm_60s,trades_per_sec_60s,delta_120s,delta_norm_120s,trades_per_sec_120s,delta_300s,delta_norm_300s,trades_per_sec_300s,delta_600s,delta_norm_600s,trades_per_sec_600s,cum_delta_5m,delta_accel,price_change_atr,delta_price_response,flow_divergence,long_hit_3bar,long_hit_6bar,long_hit_9bar,long_hit_12bar,long_hit_18bar,long_hit_24bar,long_p1.0_before_l1.0,long_p1.5_before_l0.75,long_p1.5_before_l1.0,long_p2.0_before_l1.0,long_primary_hit,long_mfe_atr,long_mae_atr,long_mfe_mae_ratio,long_bars_to_mfe,long_bars_to_mae,long_net_atr,short_hit_3bar,short_hit_6bar,short_hit_9bar,short_hit_12bar,short_hit_18bar,short_hit_24bar,short_p1.0_before_l1.0,short_p1.5_before_l0.75,short_p1.5_before_l1.0,short_p2.0_before_l1.0,short_primary_hit,short_mfe_atr,short_mae_atr,short_mfe_mae_ratio,short_bars_to_mfe,short_bars_to_mae,short_net_atr,eligible,atr,close,high,low
2024-01-01 17:00:00-06:00,0.007832217477451714,0.024920691973709996,0.2857142857142857,,,,1020,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.03333333333333333,0.0,,0.016666666666666666,0.0,,0.008333333333333333,0.0,,0.0033333333333333335,0.0,,0.0016666666666666668,0.0,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.059097640966226564,0.0007120197706774285,83.0,4.0,0.0,0.054825522342161995,False,False,False,False,False,False,False,False,False,False,False,0.0007120197706774285,0.059097640966226564,0.012048192771084338,0.0,4.0,-0.054825522342161995,True,351.11384584468135,16803.0,16809.25,16800.5
2024-01-01 17:05:00-06:00,0.021429055631605326,0.026786319539506658,0.8571428571428571,,,,1025,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-16.0,-0.34782608695652173,1.0666666666666667,-11.0,-0.14285714285714285,0.9,7.0,0.04964539007092199,0.7583333333333333,133.0,0.12900096993210475,2.19,133.0,0.12900096993210475,1.0966666666666667,0.0,0.0,0.0221943790470198,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.045919404924868554,0.015306468308289519,2.9999999999999996,23.0,15.0,0.02831696637033561,False,False,False,False,False,False,False,False,False,False,False,0.015306468308289519,0.045919404924868554,0.33333333333333337,15.0,23.0,-0.02831696637033561,True,326.6592854272041,16810.25,16811.5,16802.75
2024-01-01 17:10:00-06:00,0.005762915025248552,0.01564219792567464,0.7368421052631579,,,,1030,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,5.0,0.0684931506849315,1.4333333333333333,38.0,0.3114754098360656,1.2,39.0,0.23076923076923078,0.9083333333333333,37.0,0.07269155206286837,1.1066666666666667,170.0,0.11038961038961038,1.6483333333333334,0.0,0.0,0.007409462175319567,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.04198695232681088,0.023874933676029716,1.7586206896551724,22.0,14.0,0.011525830050497104,False,False,False,False,False,False,False,False,False,False,False,0.023874933676029716,0.04198695232681088,0.5686274509803921,14.0,22.0,-0.011525830050497104,True,303.66576503954667,16812.5,16813.75,16809.0
2024-01-01 17:15:00-06:00,0.010625769407892807,0.017709615679821343,0.65,0.04427403919955336,,,1035,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,6.0,0.2727272727272727,0.4666666666666667,-2.0,-0.023809523809523808,1.0,-10.0,-0.07462686567164178,0.7416666666666667,10.0,0.02242152466367713,0.9733333333333334,47.0,0.049214659685863874,1.04,0.0,0.0,0.010625769407892807,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.034533750575651626,0.036304712143633754,0.9512195121951221,21.0,13.0,0.024793461951749883,False,False,False,False,False,False,False,False,False,False,False,0.036304712143633754,0.034533750575651626,1.051282051282051,13.0,21.0,-0.024793461951749883,True,282.33249610815045,16815.5,16817.25,16812.25
2024-01-01 17:20:00-06:00,0.012376498695687639,0.022848920668961794,0.875,0.03236930428102921,,,1040,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,8.0,0.4444444444444444,0.43333333333333335,-1.0,-0.015384615384615385,0.6833333333333333,-37.0,-0.2868217054263566,0.6833333333333333,0.0,0.0,0.8433333333333334,10.0,0.01201923076923077,0.9083333333333333,0.0,0.0,0.012376498695687639,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.024752997391375278,0.05141007150516404,0.4814814814814815,20.0,12.0,0.0057122301672404485,False,False,False,False,False,False,False,False,False,False,False,0.05141007150516404,0.024752997391375278,2.0769230769230766,12.0,20.0,-0.0057122301672404485,True,262.594460671854,16818.75,16819.5,16813.5
2024-01-01 17:25:00-06:00,0.0030713177633906975,0.019451679168141084,0.21052631578947367,0.030713177633906977,,,1045,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,4.0,0.2222222222222222,0.36666666666666664,3.0,0.06666666666666667,0.5,12.0,0.10714285714285714,0.6333333333333333,-1.0,-0.0035335689045936395,0.64,-1.0,-0.0014947683109118087,0.7416666666666667,0.0,0.0,0.005118862938984496,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.02149922434373488,0.06040258268001705,0.3559322033898305,19.0,11.0,-0.016380361404750386,False,False,False,False,False,False,False,False,False,False,False,0.06040258268001705,0.02149922434373488,2.8095238095238098,11.0,19.0,0.016380361404750386,True,244.19485633815015,16820.0,16823.75,16819.0
2024-01-01 17:30:00-06:00,0.006605262609679595,0.02091666493065205,0.05263157894736842,0.01321052521935919,0.06825438030002248,,1050,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-10.0,-0.625,0.4,-2.0,-0.027777777777777776,0.95,-47.0,-0.31543624161073824,0.7583333333333333,-38.0,-0.09743589743589744,0.8133333333333334,-39.0,-0.05794947994056464,0.7266666666666667,0.0,0.0,-0.006605262609679595,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.029723681743558175,0.058346486385503084,0.5094339622641509,18.0,10.0,-0.023118419133878583,False,False,False,False,False,False,False,False,False,False,False,0.058346486385503084,0.029723681743558175,1.962962962962963,10.0,18.0,0.023118419133878583,True,227.09165231399655,16818.5,16823.0,16818.25
2024-01-01 17:35:00-06:00,0.0023687128388059212,0.014212277032835528,0.8333333333333334,0.0023687128388059212,0.042636831098506585,,1055,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-10.0,-0.38461538461538464,0.7666666666666667,-18.0,-0.4090909090909091,0.5833333333333334,-12.0,-0.15,0.5083333333333333,17.0,0.0776255707762557,0.5533333333333333,-21.0,-0.034482758620689655,0.6833333333333333,0.0,0.0,0.003553069258208882,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.028424554065671057,0.0663239594865658,0.42857142857142855,17.0,9.0,-0.058033464550745074,False,False,False,False,False,False,False,False,False,False,False,0.0663239594865658,0.028424554065671057,2.3333333333333335,9.0,17.0,0.058033464550745074,True,211.08510572013964,16819.25,16819.75,16816.75
2024-01-01 17:40:00-06:00,0.02291028745623887,0.029274256194083005,0.0,-0.028001462446514178,0.01018234998055061,,1060,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-2.0,-0.09090909090909091,0.5666666666666667,2.0,0.02702702702702703,0.9333333333333333,9.0,0.07317073170731707,0.7083333333333334,1.0,0.004524886877828055,0.55,18.0,0.04090909090909091,0.5516666666666666,0.0,0.0,-0.0241830812038077,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.05473013114545953,0.08654997483468019,0.6323529411764706,16.0,23.0,-0.06618527487357896,False,False,False,False,False,False,False,False,False,False,False,0.08654997483468019,0.05473013114545953,1.5813953488372094,23.0,16.0,0.06618527487357896,True,196.41831245441537,16814.5,16820.25,16814.5
2024-01-01 17:45:00-06:00,0.00958645946082903,0.012325447878208752,0.8888888888888888,-0.013694942086898613,0.0027389884173797227,,1065,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,-22.0,-0.6470588235294118,0.5666666666666667,-24.0,-0.48,0.5,-24.0,-0.375,0.35,-53.0,-0.23348017621145375,0.5266666666666666,-52.0,-0.11607142857142858,0.5383333333333333,0.0,0.0,0.008216965252139169,0.0,,False,False,False,False,False,False,False,False,False,False,False,0.05067128572152487,0.10134257144304974,0.5,15.0,22.0,-0.08080015831270182,False,False,False,False,False,False,False,False,False,False,False,0.10134257144304974,0.05067128572152487,2.0,22.0,15.0,0.08080015831270182,True,182.5491472791,16816.0,16816.25,16814.0
