model,AUC,Brier,top10_hit_rate,top5_hit_rate,top1_hit_rate,top10_net_AvgR,N,target_hit_rate,Avg_MFE,Avg_MAE,MFE_MAE,gross_AvgR,net_AvgR,net_TotalR,net_PF,MaxDD
A_ohlcv,0.5119136567482974,0.25319176025882967,0.3597560975609756,0.3902439024390244,0.40625,-0.09493012114632653,3288,0.35097323600973235,0.7446610684026753,0.6673096866238217,4.402169584474906,0.05683510033649059,-0.09468013544938252,-311.30828535756973,0.8731764018142478,367.20697917312856
B_flow,0.4909588413827762,0.2520622758337925,0.36585365853658536,0.35365853658536583,0.4375,-0.07651332036488959,3288,0.3381995133819951,0.7262619613749424,0.6831894440043552,4.175771241938389,0.018565787937517172,-0.13294944784835594,-437.1377845253943,0.8252164123982095,463.2430250844976
C_combined,0.5162864266154412,0.2523344204371645,0.3628048780487805,0.4024390243902439,0.625,-0.08607703925006965,3288,0.34610705596107055,0.7362072582717817,0.6729035952677479,4.29165893540636,0.0415237791215615,-0.10999145666431161,-361.65190951225657,0.8537133518075205,393.41876985404974
