N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,cost_multiplier,model
1135,0.866079295154185,1.6483731365801972,1870.9035100185238,17.77573512839063,8.38599731970504,223.09851037304276,1.0,M0_Control
1135,0.0,,,0.0,,0.0,1.5,M0_Control
1135,0.0,,,0.0,,0.0,2.0,M0_Control
1135,0.32863436123348017,-0.0002503870024246851,-0.2841892477520176,0.9996301097426034,78.79916441821567,-0.003606500777644322,1.0,Stop_S3
1135,0.0,,,0.0,,0.0,1.5,Stop_S3
1135,0.0,,,0.0,,0.0,2.0,Stop_S3
1135,0.6854625550660793,0.3509909452824319,398.37472289556024,3.8907091642948686,12.721714490821398,31.314546728979337,1.0,Fixed_Target
1135,0.0,,,0.0,,0.0,1.5,Fixed_Target
1135,0.0,,,0.0,,0.0,2.0,Fixed_Target
1135,0.8854625550660793,1.6343028911282018,1854.933781430509,20.369520707139458,7.373476752519878,251.56840438895904,1.0,Break_Even
1135,0.0,,,0.0,,0.0,1.5,Break_Even
1135,0.0,,,0.0,,0.0,2.0,Break_Even
1135,0.8696035242290749,1.6323052048490345,1852.6664075036542,18.049728446597754,8.38599731970504,220.92380153167252,1.0,Partials
1135,0.0,,,0.0,,0.0,1.5,Partials
1135,0.0,,,0.0,,0.0,2.0,Partials
1135,0.8757709251101321,8.848583016953354,10043.141724242058,99.3681979013023,4.770101144458749,2105.435801064471,1.0,Trailing
1135,0.0,,,0.0,,0.0,1.5,Trailing
1135,0.0,,,0.0,,0.0,2.0,Trailing
1135,0.8722466960352423,1.6363556544404332,1857.2636677898915,18.739098571334498,7.303966017457242,254.2815318897757,1.0,Opposite_BOS
1135,0.0,,,0.0,,0.0,1.5,Opposite_BOS
1135,0.0,,,0.0,,0.0,2.0,Opposite_BOS
1135,0.866079295154185,1.6454788624654215,1867.6185088982534,17.678001498199574,8.38599731970504,222.70678581184458,1.0,Time_Exit
1135,0.0,,,0.0,,0.0,1.5,Time_Exit
1135,0.0,,,0.0,,0.0,2.0,Time_Exit
1135,0.8405286343612335,1.558414832511274,1768.8008349002962,21.778400315410117,9.519122187486573,185.8155405574566,1.0,Stagnation
1135,0.0,,,0.0,,0.0,1.5,Stagnation
1135,0.0,,,0.0,,0.0,2.0,Stagnation
1135,0.8687224669603524,1.6391733783109756,1860.4617843829574,18.28294230532961,8.38599731970504,221.85337216973915,1.0,Profit_Lock
1135,0.0,,,0.0,,0.0,1.5,Profit_Lock
1135,0.0,,,0.0,,0.0,2.0,Profit_Lock
1135,0.6898678414096916,0.41865330185191746,475.1714976019263,4.525212676636846,14.261784234694659,33.31781562407711,1.0,Structure_Target
1135,0.0,,,0.0,,0.0,1.5,Structure_Target
1135,0.0,,,0.0,,0.0,2.0,Structure_Target
1135,0.8519823788546256,1.635477639669529,1856.2671210249155,21.947673604019542,4.02478954876625,461.20849265123223,1.0,INV_15M
1135,0.0,,,0.0,,0.0,1.5,INV_15M
1135,0.0,,,0.0,,0.0,2.0,INV_15M
