MODEL,dAvgR,dPF,dTotalR,dMaxDD,dWinRate,dMFE_Capture,dAvgHold
Stop_S3,-1.6486235235826219,-16.776105018648025,-1871.1876992662758,70.41316709851064,-0.5374449339207048,,
Fixed_Target,-1.2973821912977654,-13.88502596409576,-1472.5287871229634,4.335717171116357,-0.1806167400881057,,
Break_Even,-0.014070245451995422,2.593785578748829,-15.969728588014732,-1.0125205671851631,0.01938325991189427,,
Partials,-0.01606793173116272,0.273993318207129,-18.237102514869548,0.0,0.0035242290748899174,,
Opposite_BOS,-0.012017482139764057,0.9633634429438693,-13.639842228632233,-1.082031302247799,0.006167400881057272,,
Time_Exit,-0.002894274114775719,-0.09773363019105119,-3.285001120270408,0.0,0.0,,
Stagnation,-0.08995830406892313,4.002665187019488,-102.10267511822758,1.1331248677815324,-0.02555066079295154,,
Profit_Lock,-0.009199758269221592,0.5072071769389801,-10.4417256355664,0.0,0.002643171806167355,,
Structure_Target,-1.2297198347282796,-13.250522451753781,-1395.7320124165974,5.875786914989618,-0.17621145374449343,,
INV_15M,-0.01289549691066827,4.171938475628913,-14.636388993608307,-4.36120777093879,-0.014096916299559448,,
Trailing,-0.014635389267526389,1.1425608936733553,-16.61116681864246,-1.1424754196935396,0.007929515418502175,,
