year,family,N,AvgR
2024,Stop_S3,166,0.12781748482867977
2024,Fixed_Target,166,0.4544222103442678
2024,Break_Even,166,2.0616690013035734
2024,Partials,166,2.0616690013035734
2024,Trailing,166,2.0616690013035734
2024,Opposite_BOS,166,2.0616690013035734
2024,Time_Exit,166,2.0616690013035734
2024,Stagnation,166,2.0616690013035734
2024,Profit_Lock,166,2.0616690013035734
2024,Structure_Target,166,0.4544222103442678
2024,INV_15M,166,2.0616690013035734
2025,Stop_S3,160,-0.027119051254737413
2025,Fixed_Target,160,0.4695566924212393
2025,Break_Even,160,2.0151446598831138
2025,Partials,160,2.0151446598831138
2025,Trailing,160,2.0151446598831138
2025,Opposite_BOS,160,2.0151446598831138
2025,Time_Exit,160,2.0151446598831138
2025,Stagnation,160,2.0151446598831138
2025,Profit_Lock,160,2.0151446598831138
2025,Structure_Target,160,0.4695566924212393
2025,INV_15M,160,2.0151446598831138
2026,Stop_S3,90,0.04336448584976415
2026,Fixed_Target,90,0.49169433287372477
2026,Break_Even,90,1.9996857714493772
2026,Partials,90,1.9996857714493772
2026,Trailing,90,1.9996857714493772
2026,Opposite_BOS,90,1.9996857714493772
2026,Time_Exit,90,1.9996857714493772
2026,Stagnation,90,1.9996857714493772
2026,Profit_Lock,90,1.9996857714493772
2026,Structure_Target,90,0.49169433287372477
2026,INV_15M,90,1.9996857714493772
