family,segment,N,AvgR
Stop_S3,Long,602,0.003990826527233791
Stop_S3,Short,533,-0.005040650688830667
Fixed_Target,Long,602,0.027528728253422313
Fixed_Target,Short,533,0.7163272579493433
Break_Even,Long,602,2.17607999285105
Break_Even,Short,533,1.0223895417151538
Partials,Long,602,2.180455070463834
Partials,Short,533,1.0131940995955457
Trailing,Long,602,7.7725642540279996
Trailing,Short,533,10.063898767949718
Opposite_BOS,Long,602,2.1809268955093755
Opposite_BOS,Short,533,1.0212864478297325
Time_Exit,Long,602,2.1930692636597056
Time_Exit,Short,533,1.0269996476080872
Stagnation,Long,602,2.1486630930949233
Stagnation,Short,533,0.8917554462610737
Profit_Lock,Long,602,2.188101238951328
Profit_Lock,Short,533,1.019183561977969
Structure_Target,Long,602,0.05185499652871898
Structure_Target,Short,533,0.8329358155565431
INV_15M,Long,602,2.1817688729720452
INV_15M,Short,533,1.0184657776655615
