signal_id,entry_timestamp,direction,phase44_class,setup_type,walk_forward_fold,entry_price,initial_stop,initial_target,initial_risk_points,atr_entry,mfe_r,mae_r,time_to_0_5r,time_to_1r,time_to_1_5r,time_to_2r,time_to_mfe,max_giveback,control_exit_timestamp,control_exit_price,control_exit_r,control_exit_type,hold_minutes,reached_1r_then_negative,reached_2r_gave_back_1r
1533,2020-01-07 10:15:00-06:00,Long,B,L,1,8882.5,8644.51157665959,8689.610200644736,237.98842334041,3.0,0.004201885057953581,0.011555183909372347,,,,,,0.0,2020-01-07 10:16:00-06:00,,2.996953633332984,TARGET,1,0,0
1539,2020-01-10 10:49:00-06:00,Short,B,S,1,9011.0,8805.820251083982,8768.638838835446,205.17974891601807,3.6785714285714284,0.003655331503047027,0.019495101349584147,,,,,,0.0,2020-01-10 10:50:00-06:00,,0.9964665128803879,STOP,1,0,0
1548,2020-01-15 14:18:00-06:00,Short,B,S,1,9044.75,8844.307501024625,8803.790430370691,200.4424989753752,4.125,0.0,0.01995584778900311,,,,,,0.0,2020-01-15 14:19:00-06:00,,0.9963830025882432,STOP,1,0,0
1549,2020-01-16 10:15:00-06:00,Short,B,S,1,9082.75,8872.166501814974,8839.403798727071,210.58349818502575,4.071428571428571,0.02967943857836638,0.005935887715673277,,,,,,0.0,2020-01-16 10:16:00-06:00,,0.9965571851249095,STOP,1,0,0
1559,2020-01-22 10:15:00-06:00,Short,A,S,1,9221.25,9019.556167776342,8986.150114689235,201.69383222365832,4.357142857142857,0.011155522086094207,0.006197512270052338,,,,,,0.0,2020-01-22 10:16:00-06:00,,0.9964054428833696,STOP,1,0,0
1562,2020-01-23 15:50:00-06:00,Long,B,L,1,9251.0,9014.797949504207,9054.606151487376,236.20205049579272,1.1607142857142858,0.007408911126413661,0.0010584158752019515,,,,,,0.0,2020-01-23 15:51:00-06:00,,2.996930593961914,TARGET,1,0,0
1565,2020-01-24 12:30:00-06:00,Short,A,S,1,9163.5,8959.035258985325,8908.131055341293,204.46474101467538,5.607142857142857,0.008558932906062246,0.020785979914722596,,,,,,0.0,2020-01-24 12:31:00-06:00,,0.9964541563674885,STOP,1,0,0
1576,2020-01-31 11:00:00-06:00,Long,A,L,1,9066.75,8809.532373484959,8884.39015002228,257.21762651504105,6.357142857142857,0.01360715456176303,0.0,,,,,,0.0,2020-01-31 11:01:00-06:00,,2.997181375126492,TARGET,1,0,0
1579,2020-02-03 12:30:00-06:00,Short,B,S,1,9116.75,8903.159463309721,8843.521610070835,213.5905366902789,4.910714285714286,0.019897885298929677,0.004681855364454041,,,,,,0.0,2020-02-03 12:31:00-06:00,,0.9966056548607708,STOP,1,0,0
1595,2020-02-11 13:18:00-06:00,Short,A,S,1,9538.0,9333.82848021022,9285.327195396012,204.17151978977927,5.107142857142857,0.004897842759997223,0.01102014620999375,,,,,,0.0,2020-02-11 13:19:00-06:00,,0.996449063999002,STOP,1,0,0
1598,2020-02-13 10:00:00-06:00,Long,B,L,1,9608.25,9360.398796465071,9409.338549502454,247.85120353492857,3.5535714285714284,0.02118206377505099,0.0010086697035738565,,,,,,0.0,2020-02-13 10:01:00-06:00,,2.997074857859636,TARGET,1,0,0
1609,2020-02-20 11:45:00-06:00,Short,B,S,1,9550.25,9348.546604700869,9269.360185897393,201.70339529913144,8.285714285714286,0.009915549497984143,0.007436662123488108,,,,,,0.0,2020-02-20 11:46:00-06:00,,0.9964056133069807,STOP,1,0,0
1611,2020-02-24 13:45:00-06:00,Long,A+,L,1,9139.25,8880.383722502213,8993.292084467932,258.86627749778745,7.303571428571429,0.036698484220607674,0.006760247093269834,,,,,,0.0,2020-02-24 13:46:00-06:00,,2.9971993262042167,TARGET,1,0,0
1613,2020-02-25 11:45:00-06:00,Short,A+,RS,1,8981.25,8814.848941024993,8699.997729949791,166.4010589750069,10.482142857142858,0.06009577139471198,0.0015023942848677995,,,,,,0.0,2020-02-25 11:46:00-06:00,,0.9956430565738834,STOP,1,0,0
1614,2020-02-25 13:17:00-06:00,Short,A+,S,1,8873.5,8714.016757784599,8583.01633220384,159.48324221540133,18.303571428571427,0.07837814071472941,0.00783781407147294,,,,,,0.0,2020-02-25 13:18:00-06:00,,0.9954540678385457,STOP,1,0,0
1620,2020-02-27 10:17:00-06:00,Long,A+,L,1,8712.0,8408.335862138056,8571.596506044147,303.66413786194425,19.392857142857142,0.07656485274718287,0.013995725770990416,,,,,,0.0,2020-02-27 10:18:00-06:00,,2.9976124938390662,TARGET,1,0,0
1621,2020-02-27 11:15:00-06:00,Long,A+,RL,1,8733.75,8429.646265124557,8586.7764241215,304.1037348754435,14.553571428571429,0.005754615281909559,0.03123934010179475,,,,,,0.0,2020-02-27 11:16:00-06:00,,2.4976159450974946,TARGET,1,0,0
1623,2020-02-28 10:15:00-06:00,Long,A+,L,1,8272.0,7971.118140058868,8209.645579823395,300.88185994113155,23.928571428571427,0.03572830878572497,0.02741939976578893,,,,,,0.0,2020-02-28 10:16:00-06:00,,2.9975904163842184,TARGET,1,0,0
1624,2020-02-28 13:03:00-06:00,Short,A+,S,1,8238.5,8114.89831043218,7865.305068703461,123.60168956782036,21.232142857142858,0.127425442605766,0.024271512877288764,,,,,,0.0,2020-02-28 13:04:00-06:00,,0.9941343843879885,STOP,1,0,0
1626,2020-03-01 17:33:00-06:00,Short,A+,RS,1,8355.0,8218.992881943446,7950.392795141383,136.00711805655374,13.392857142857142,0.15807996160215665,0.0,,,,,,0.0,2020-03-01 17:34:00-06:00,,0.9946693966436482,STOP,1,0,0
1627,2020-03-02 10:00:00-06:00,Long,A+,L,1,8574.5,8282.231835989978,8469.37655412062,292.2681640100218,16.660714285714285,0.008553788293939109,0.047901214446059014,,,,,,0.0,2020-03-02 10:01:00-06:00,,2.9975194013947575,TARGET,1,0,0
1631,2020-03-03 14:18:00-06:00,Long,A+,L,1,8696.75,8356.994984760893,8593.272900248943,339.7550152391068,20.732142857142858,0.021338905019246655,0.03384791830639125,,,,,,0.0,2020-03-03 14:19:00-06:00,,2.997866109498075,TARGET,1,0,0
1632,2020-03-04 11:30:00-06:00,Long,A+,L,1,8772.5,8503.853132990234,8632.973230401112,268.64686700976563,12.035714285714286,0.0018611793450836126,0.029778869521337802,,,,,,0.0,2020-03-04 11:31:00-06:00,,2.997301289949629,TARGET,1,0,0
1633,2020-03-04 14:50:00-06:00,Long,A,L,1,8906.5,8624.879377660387,8737.361867018839,281.62062233961296,14.053571428571429,0.045273673121226446,0.00532631448485017,,,,,,0.0,2020-03-04 14:51:00-06:00,,2.997425614665656,TARGET,1,0,0
1637,2020-03-05 13:45:00-06:00,Short,B,RS,1,8686.25,8495.818268225463,8373.079329436343,190.43173177453718,14.0,0.03675857975333487,0.028881741234763114,,,,,,0.0,2020-03-05 13:46:00-06:00,,0.9961928613826904,STOP,1,0,0
1640,2020-03-06 14:00:00-06:00,Short,A+,S,1,8335.5,8151.240353884509,8002.278938346472,184.2596461154908,14.214285714285714,0.042060213201226014,0.03934665105921144,,,,,,0.0,2020-03-06 14:01:00-06:00,,0.9960653348940789,STOP,1,0,0
1641,2020-03-06 14:45:00-06:00,Long,A+,RL,1,8470.25,8107.594613819668,8251.15854237103,362.65538618033224,25.160714285714285,0.017923351610633027,0.035846703221266055,,,,,,0.0,2020-03-06 14:46:00-06:00,,2.4980008569357373,TARGET,1,0,0
