gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant,family,bars_to_plus_1.5r,bars_to_plus_2r,exit_i,exit_price,hold_bars,mfe_capture,realized_parts,initial_risk_points,initial_stop,initial_target
-0.05672544828237334,-0.059771814949389684,0.003046366667016346,0.023110367818744693,0.07668440230765285,,,,,,,TIME,2020-01-07 11:15:00-06:00,0,1533,1,T_4.0R,Fixed_Target,,,789886.0,8869.0,60.0,-2.4545454545454546,1.0,237.98842334041,8644.51157665959,9834.45369336164
1.0,0.9964665128803879,0.0035334871196121263,0.003655331503047027,0.019495101349584147,,,,,,,STOP,2020-01-10 10:50:00-06:00,0,1539,1,T_4.0R,Fixed_Target,,,793956.0,8805.820251083982,1.0,273.5729985546908,1.0,205.17974891601807,8805.820251083982,8190.281004335928
1.0,0.9963830025882432,0.0036169974117568142,0.0,0.01995584778900311,,,,,,,STOP,2020-01-15 14:19:00-06:00,0,1548,1,T_4.0R,Fixed_Target,,,798260.0,8844.307501024625,1.0,0.0,1.0,200.4424989753752,8844.307501024625,8242.9800040985
1.0,0.9965571851249095,0.0034428148750905003,0.02967943857836638,0.005935887715673277,,,,,,,STOP,2020-01-16 10:16:00-06:00,0,1549,1,T_4.0R,Fixed_Target,,,799382.0,8872.166501814974,1.0,33.69335970960412,1.0,210.58349818502575,8872.166501814974,8240.416007259897
1.0,0.9964054428833696,0.003594557116630356,0.011155522086094207,0.006197512270052338,,,,,,,STOP,2020-01-22 10:16:00-06:00,0,1559,1,T_4.0R,Fixed_Target,,,804610.0,9019.556167776342,1.0,89.6417032105148,1.0,201.69383222365832,9019.556167776342,8414.474671105367
0.04762871438408782,0.04455930834600216,0.0030694060380856594,0.09102376526736783,0.005292079376009758,,,,,,,TIME,2020-01-23 17:50:00-06:00,0,1562,1,T_4.0R,Fixed_Target,,,806354.0,9262.25,60.0,0.5232558139534884,1.0,236.20205049579272,9014.797949504207,10195.80820198317
1.0,0.9964541563674885,0.003545843632511502,0.008558932906062246,0.020785979914722596,,,,,,,STOP,2020-01-24 12:31:00-06:00,0,1565,1,T_4.0R,Fixed_Target,,,807474.0,8959.035258985325,1.0,116.83699486552878,1.0,204.46474101467538,8959.035258985325,8345.641035941298
-0.0933062027092322,-0.09612482758274027,0.0028186248735080563,0.017494913007981037,0.20119149959178192,,,,,,,TIME,2020-01-31 12:00:00-06:00,0,1576,1,T_4.0R,Fixed_Target,,,814268.0,9042.75,60.0,-5.333333333333334,1.0,257.21762651504105,8809.532373484959,10095.620506060164
1.0,0.9966056548607708,0.00339434513922918,0.019897885298929677,0.004681855364454041,,,,,,,STOP,2020-02-03 12:31:00-06:00,0,1579,1,T_4.0R,Fixed_Target,,,815664.0,8903.159463309721,1.0,50.25659686830092,1.0,213.5905366902789,8903.159463309721,8262.387853238884
1.0,0.996449063999002,0.003550936000997986,0.004897842759997223,0.01102014620999375,,,,,,,STOP,2020-02-11 13:19:00-06:00,0,1595,1,T_4.0R,Fixed_Target,,,823902.0,9333.82848021022,1.0,204.17151978977927,1.0,204.17151978977927,9333.82848021022,8721.313920840883
0.037320779032232694,0.03439563689186851,0.002925142140364184,0.08977160361807324,0.02017339407147713,,,,,,,TIME,2020-02-13 11:00:00-06:00,0,1598,1,T_4.0R,Fixed_Target,,,826493.0,9617.5,60.0,0.4157303370786517,1.0,247.85120353492857,9360.398796465071,10599.654814139714
1.0,0.9964056133069807,0.003594386693019252,0.009915549497984143,0.007436662123488108,,,,,,,STOP,2020-02-20 11:46:00-06:00,0,1609,1,T_4.0R,Fixed_Target,,,833138.0,9348.546604700869,1.0,100.85169764956572,1.0,201.70339529913144,9348.546604700869,8743.436418803474
-0.031869736296843504,-0.034670410092626724,0.002800673795783217,0.17962942276402705,0.10236945598380036,,,,,,,TIME,2020-02-24 14:45:00-06:00,0,1611,1,T_4.0R,Fixed_Target,,,836047.0,9131.0,60.0,-0.17741935483870966,1.0,258.86627749778745,8880.383722502213,10174.71510999115
1.0,0.9956430565738834,0.004356943426116619,0.06009577139471198,0.0015023942848677995,,,,,,,STOP,2020-02-25 11:46:00-06:00,0,1613,1,T_4.0R,Fixed_Target,,,837233.0,8814.848941024993,1.0,16.64010589750069,1.0,166.4010589750069,8814.848941024993,8315.645764099972
1.0,0.9954540678385457,0.004545932161454306,0.07837814071472941,0.00783781407147294,,,,,,,STOP,2020-02-25 13:18:00-06:00,0,1614,1,T_4.0R,Fixed_Target,,,837325.0,8714.016757784599,1.0,12.758659377232107,1.0,159.48324221540133,8714.016757784599,8235.567031138395
0.10702613824875025,0.1046386320878166,0.0023875061609336594,0.1251382539523849,0.3375439744768277,,,,,,,TIME,2020-02-27 11:17:00-06:00,0,1620,1,T_4.0R,Fixed_Target,,,839934.0,8744.5,60.0,0.855263157894737,1.0,303.66413786194425,8408.335862138056,9926.656551447777
-0.011509230563819119,-0.013893285466324507,0.0023840549025053886,0.19483483168750937,0.17839307373919633,,,,,,,TIME,2020-02-27 12:00:00-06:00,0,1621,1,T_4.0R,Fixed_Target,,,839977.0,8730.25,45.0,-0.05907172995780591,1.0,304.1037348754435,8429.646265124557,9950.164939501774
0.15288392596682313,0.15047434235104168,0.0024095836157814513,0.7494635935982308,0.02741939976578893,,,26.0,,,,TIME,2020-02-28 11:15:00-06:00,0,1623,1,T_4.0R,Fixed_Target,,,841297.0,8318.0,60.0,0.2039911308203991,1.0,300.88185994113155,7971.118140058868,9475.527439764526
1.0,0.9941343843879885,0.005865615612011451,0.127425442605766,0.024271512877288764,,,,,,,STOP,2020-02-28 13:04:00-06:00,0,1624,1,T_4.0R,Fixed_Target,,,841406.0,8114.89831043218,1.0,7.847726321766372,1.0,123.60168956782036,8114.89831043218,7744.093241728719
1.0,0.9946693966436482,0.005330603356351794,0.15807996160215665,0.0,,,,,,,STOP,2020-03-01 17:34:00-06:00,0,1626,1,T_4.0R,Fixed_Target,,,841601.0,8218.992881943446,1.0,6.325912467746686,1.0,136.00711805655374,8218.992881943446,7810.971527773785
0.5346117683711943,0.532131169765952,0.0024805986052423416,0.5440209354945273,0.07441795815727024,,,55.0,,,,TIME,2020-03-02 11:00:00-06:00,0,1627,1,T_4.0R,Fixed_Target,,,842647.0,8730.75,60.0,0.9827044025157232,1.0,292.2681640100218,8282.231835989978,9743.572656040087
-0.3186119266666828,-0.32074581716860745,0.0021338905019246657,0.022810553641263668,0.4002884251886269,,,,,,,TIME,2020-03-03 15:33:00-06:00,0,1631,1,T_4.0R,Fixed_Target,,,844270.0,8588.5,60.0,-13.96774193548387,1.0,339.7550152391068,8356.994984760893,10055.770060956427
0.2661486463469566,0.26344993629658536,0.0026987100503712384,0.32849815440725766,0.08654483954638799,,,,,,,TIME,2020-03-04 12:30:00-06:00,0,1632,1,T_4.0R,Fixed_Target,,,845467.0,8844.0,60.0,0.8101983002832861,1.0,268.64686700976563,8503.853132990234,9847.087468039063
