timestamp,timestamp_utc,timestamp_chicago,timestamp_ny,bar_index,open,high,low,close,atr,state_before,state_after,signal_long,signal_short,enter_long,enter_short,entry_price,in_trade,trade_direction,stop_price,target_price,exit_stop,exit_target,exit_time,reason_code,p58_state,ctx_dir,ev_total_long,ev_total_short,raw_long,raw_short,take_long,take_short,ctx_score_long,ctx_score_short,loc_long,loc_short,react_long,react_short,contra_long,contra_short,armed_direction,cooldown,cooldown_rem,gate_open,p4_result,h1_result,decision,band_long,band_short,dom_long,dom_short,known_at
2026-08-28 06:45:00-05:00,2026-08-28T11:45:00+00:00,2026-08-28T06:45:00-05:00,2026-08-28T07:45:00-04:00,3136391,29609.5,29615.0,29607.5,29610.75,6.25,WATCH,ARMED_SHORT,False,False,False,False,,False,SHORT,,,False,False,False,,-1,BEARISH,1,4,False,False,False,False,0,2,2,1,0,0,0,0,SHORT,False,0,True,KEEP,KEEP,,LOW,HIGH,DOWN,DOWN,2026-08-28 06:45:00-05:00
2026-08-28 06:46:00-05:00,2026-08-28T11:46:00+00:00,2026-08-28T06:46:00-05:00,2026-08-28T07:46:00-04:00,3136392,29611.75,29613.5,29610.75,29612.0,6.178571428571429,ARMED_SHORT,IN_SHORT,False,True,False,False,,True,,,,False,False,False,SIGNAL,-2,BEARISH,2,6,False,False,False,True,1,2,2,3,1,0,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,HIGH,STRONG_DOWN,STRONG_DOWN,2026-08-28 06:46:00-05:00
2026-08-28 06:47:00-05:00,2026-08-28T11:47:00+00:00,2026-08-28T06:47:00-05:00,2026-08-28T07:47:00-04:00,3136393,29612.75,29614.25,29609.5,29613.25,6.196428571428571,IN_SHORT,SHORT_ACTIVE,False,False,False,True,29612.75,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,ENTER,-2,BEARISH,6,4,False,False,False,False,1,2,2,3,2,0,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,MEDIUM,DOWN,DOWN,2026-08-28 06:47:00-05:00
2026-08-28 06:48:00-05:00,2026-08-28T11:48:00+00:00,2026-08-28T06:48:00-05:00,2026-08-28T07:48:00-04:00,3136394,29612.25,29614.5,29608.25,29613.0,5.696428571428571,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,5,3,False,False,False,False,1,2,2,3,1,1,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,LOW,TRANSITION,TRANSITION,2026-08-28 06:48:00-05:00
2026-08-28 06:49:00-05:00,2026-08-28T11:49:00+00:00,2026-08-28T06:49:00-05:00,2026-08-28T07:49:00-04:00,3136395,29612.5,29612.75,29609.75,29611.75,5.428571428571429,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,1,3,False,False,False,False,1,2,2,1,0,1,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,LOW,TRANSITION,TRANSITION,2026-08-28 06:49:00-05:00
2026-08-28 06:50:00-05:00,2026-08-28T11:50:00+00:00,2026-08-28T06:50:00-05:00,2026-08-28T07:50:00-04:00,3136396,29612.0,29612.75,29606.75,29610.25,5.589285714285714,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,1,4,False,False,False,False,0,2,2,1,0,2,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,HIGH,STRONG_DOWN,STRONG_DOWN,2026-08-28 06:50:00-05:00
2026-08-28 06:51:00-05:00,2026-08-28T11:51:00+00:00,2026-08-28T06:51:00-05:00,2026-08-28T07:51:00-04:00,3136397,29611.0,29612.5,29606.0,29608.5,5.785714285714286,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,2,5,False,False,False,False,0,2,3,0,0,2,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,HIGH,DOWN,DOWN,2026-08-28 06:51:00-05:00
2026-08-28 06:52:00-05:00,2026-08-28T11:52:00+00:00,2026-08-28T06:52:00-05:00,2026-08-28T07:52:00-04:00,3136398,29608.5,29614.25,29604.0,29606.0,6.142857142857143,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,2,6,False,False,False,False,0,2,3,0,0,3,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,HIGH,DOWN,DOWN,2026-08-28 06:52:00-05:00
2026-08-28 06:53:00-05:00,2026-08-28T11:53:00+00:00,2026-08-28T06:53:00-05:00,2026-08-28T07:53:00-04:00,3136399,29605.75,29609.75,29604.75,29609.5,6.25,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,6,5,False,False,False,False,0,2,3,3,2,0,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,HIGH,DOWN,DOWN,2026-08-28 06:53:00-05:00
2026-08-28 06:54:00-05:00,2026-08-28T11:54:00+00:00,2026-08-28T06:54:00-05:00,2026-08-28T07:54:00-04:00,3136400,29608.25,29613.25,29607.5,29611.25,6.357142857142857,SHORT_ACTIVE,SHORT_ACTIVE,False,False,False,False,,True,SHORT,29618.946428571428,29597.258928571428,False,False,False,,-2,BEARISH,3,3,False,False,False,False,0,2,0,3,2,0,0,0,SHORT,False,0,False,KEEP,KEEP,,LOW,LOW,NEUTRAL,NEUTRAL,2026-08-28 06:54:00-05:00
