timestamp,candidate_id,displacement_id,state,disp_bar,reclaim_bar,fill_bar,dedupe_passed,event_id
2017-10-02 09:45:00-05:00,1,1,WAIT_FOR_RECLAIM,67,-1,-1,False,A_MID_4_2017-10-02 09:45:00-05:00_Long
2017-10-02 10:30:00-05:00,2,2,WAIT_FOR_RECLAIM,70,-1,-1,False,A_MID_4_2017-10-02 10:30:00-05:00_Long
2017-10-02 10:45:00-05:00,3,3,WAIT_FOR_RECLAIM,71,-1,-1,False,A_MID_4_2017-10-02 10:45:00-05:00_Long
2017-10-02 11:00:00-05:00,1,1,EXPIRED,67,-1,-1,False,A_MID_4_2017-10-02 09:45:00-05:00_Long
2017-10-02 11:15:00-05:00,4,4,WAIT_FOR_RECLAIM,73,-1,-1,False,A_MID_4_2017-10-02 11:15:00-05:00_Short
2017-10-02 11:15:00-05:00,3,3,WAIT_FOR_RETEST,71,73,-1,True,A_MID_4_2017-10-02 10:45:00-05:00_Long
2017-10-02 11:30:00-05:00,3,3,FIRED,71,73,74,True,A_MID_4_2017-10-02 10:45:00-05:00_Long
2017-10-02 11:45:00-05:00,2,2,EXPIRED,70,-1,-1,False,A_MID_4_2017-10-02 10:30:00-05:00_Long
2017-10-02 12:30:00-05:00,4,4,EXPIRED,73,-1,-1,False,A_MID_4_2017-10-02 11:15:00-05:00_Short
2017-10-03 11:00:00-05:00,5,5,WAIT_FOR_RECLAIM,163,-1,-1,False,A_MID_4_2017-10-03 11:00:00-05:00_Short
2017-10-03 12:00:00-05:00,5,5,WAIT_FOR_RETEST,163,167,-1,True,A_MID_4_2017-10-03 11:00:00-05:00_Short
2017-10-03 12:15:00-05:00,5,5,FIRED,163,167,168,True,A_MID_4_2017-10-03 11:00:00-05:00_Short
2017-10-04 09:45:00-05:00,6,6,WAIT_FOR_RECLAIM,249,-1,-1,False,A_MID_4_2017-10-04 09:45:00-05:00_Short
2017-10-04 10:15:00-05:00,7,7,WAIT_FOR_RECLAIM,251,-1,-1,False,A_MID_4_2017-10-04 10:15:00-05:00_Short
2017-10-04 11:00:00-05:00,6,6,EXPIRED,249,-1,-1,False,A_MID_4_2017-10-04 09:45:00-05:00_Short
2017-10-04 11:30:00-05:00,8,8,WAIT_FOR_RECLAIM,256,-1,-1,False,A_MID_4_2017-10-04 11:30:00-05:00_Long
2017-10-04 11:30:00-05:00,7,7,EXPIRED,251,-1,-1,False,A_MID_4_2017-10-04 10:15:00-05:00_Short
2017-10-04 12:45:00-05:00,8,8,EXPIRED,256,-1,-1,False,A_MID_4_2017-10-04 11:30:00-05:00_Long
2017-10-05 10:15:00-05:00,9,9,WAIT_FOR_RECLAIM,342,-1,-1,False,A_MID_4_2017-10-05 10:15:00-05:00_Short
2017-10-05 11:00:00-05:00,10,10,WAIT_FOR_RECLAIM,345,-1,-1,False,A_MID_4_2017-10-05 11:00:00-05:00_Short
2017-10-05 11:30:00-05:00,9,9,EXPIRED,342,-1,-1,False,A_MID_4_2017-10-05 10:15:00-05:00_Short
2017-10-05 12:15:00-05:00,10,10,EXPIRED,345,-1,-1,False,A_MID_4_2017-10-05 11:00:00-05:00_Short
2017-10-05 13:30:00-05:00,11,11,WAIT_FOR_RECLAIM,355,-1,-1,False,A_MID_4_2017-10-05 13:30:00-05:00_Short
2017-10-05 14:45:00-05:00,11,11,EXPIRED,355,-1,-1,False,A_MID_4_2017-10-05 13:30:00-05:00_Short
2017-10-06 10:15:00-05:00,12,12,WAIT_FOR_RECLAIM,433,-1,-1,False,A_MID_4_2017-10-06 10:15:00-05:00_Short
2017-10-06 10:30:00-05:00,12,12,WAIT_FOR_RETEST,433,434,-1,True,A_MID_4_2017-10-06 10:15:00-05:00_Short
2017-10-06 10:45:00-05:00,12,12,FIRED,433,434,435,True,A_MID_4_2017-10-06 10:15:00-05:00_Short
2017-10-06 14:45:00-05:00,13,13,WAIT_FOR_RECLAIM,451,-1,-1,False,A_MID_4_2017-10-06 14:45:00-05:00_Short
2017-10-06 15:00:00-05:00,13,13,WAIT_FOR_RETEST,451,452,-1,True,A_MID_4_2017-10-06 14:45:00-05:00_Short
2017-10-06 15:30:00-05:00,13,13,FIRED,451,452,453,True,A_MID_4_2017-10-06 14:45:00-05:00_Short
2017-10-09 11:15:00-05:00,14,14,WAIT_FOR_RECLAIM,528,-1,-1,False,A_MID_4_2017-10-09 11:15:00-05:00_Long
2017-10-09 12:30:00-05:00,14,14,EXPIRED,528,-1,-1,False,A_MID_4_2017-10-09 11:15:00-05:00_Long
2017-10-09 13:45:00-05:00,15,15,WAIT_FOR_RECLAIM,538,-1,-1,False,A_MID_4_2017-10-09 13:45:00-05:00_Long
2017-10-09 14:00:00-05:00,16,16,WAIT_FOR_RECLAIM,539,-1,-1,False,A_MID_4_2017-10-09 14:00:00-05:00_Long
2017-10-09 14:15:00-05:00,17,17,WAIT_FOR_RECLAIM,540,-1,-1,False,A_MID_4_2017-10-09 14:15:00-05:00_Short
2017-10-09 14:15:00-05:00,16,16,WAIT_FOR_RETEST,539,540,-1,True,A_MID_4_2017-10-09 14:00:00-05:00_Long
2017-10-09 14:30:00-05:00,16,16,FIRED,539,540,541,True,A_MID_4_2017-10-09 14:00:00-05:00_Long
2017-10-09 14:30:00-05:00,17,17,DEDUPED,540,541,-1,False,A_MID_4_2017-10-09 14:15:00-05:00_Short
2017-10-09 15:00:00-05:00,15,15,EXPIRED,538,-1,-1,False,A_MID_4_2017-10-09 13:45:00-05:00_Long
2017-10-10 09:30:00-05:00,18,18,WAIT_FOR_RECLAIM,612,-1,-1,False,A_MID_4_2017-10-10 09:30:00-05:00_Short
2017-10-10 10:00:00-05:00,18,18,WAIT_FOR_RETEST,612,614,-1,True,A_MID_4_2017-10-10 09:30:00-05:00_Short
2017-10-10 10:15:00-05:00,18,18,FIRED,612,614,615,True,A_MID_4_2017-10-10 09:30:00-05:00_Short
2017-10-10 11:30:00-05:00,19,19,WAIT_FOR_RECLAIM,620,-1,-1,False,A_MID_4_2017-10-10 11:30:00-05:00_Short
2017-10-10 12:45:00-05:00,19,19,EXPIRED,620,-1,-1,False,A_MID_4_2017-10-10 11:30:00-05:00_Short
