segment,year,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
RESTORED,2017,17,0.5294117647058824,-0.06984932799624104,-1.1874385759360977,0.8371141282972708,3.4112738320979084,-0.34809242364628107
RESTORED,2018,88,0.5681818181818182,0.20535307039717535,18.07107019495143,1.5308586000119513,6.114139285662578,2.955619646632421
RESTORED,2019,64,0.5625,0.36072184023505877,23.08619777504376,1.956756498051394,3.1594901597938065,7.306937704325816
RESTORED,2020,99,0.5050505050505051,0.2326475891655947,23.032111327393874,1.5503878592768625,7.298668387166035,3.155659375879235
RESTORED,2021,76,0.5131578947368421,0.17624047002610116,13.394275721983687,1.4050249449473367,5.882443924277391,2.276991654217777
RESTORED,2022,68,0.5441176470588235,0.3220002706537678,21.89601840445621,1.7721299210751174,7.0171088321807416,3.1203760591598915
RESTORED,2023,90,0.6222222222222222,0.4231783195717226,38.08604876145503,2.312222487052051,3.1086444549252548,12.251658018051081
RESTORED,2024,73,0.5753424657534246,0.3512397998904289,25.640505392001312,2.0852147250148008,5.4961750898168065,4.665154397920744
RESTORED,2025,72,0.5694444444444444,0.5017517094627619,36.12612308131886,2.6574741556681762,4.2167095363313045,8.56737291721306
RESTORED,2026,37,0.4594594594594595,-0.008059883985863128,-0.2982157074769357,0.9824963053875487,9.51237244862996,-0.031350297634728005
