timestamp_ct,signal_type,batch_present,batch_entry,batch_stop,single_present,concurrent_present,concurrent_entry,concurrent_stop,concurrent_vs_batch,single_entry,single_stop
2017-10-02 16:30:00+00:00,RL,True,5974.90516475333,5969.230803078356,False,True,5974.90516475333,5969.230803078356,MATCH,,
2017-10-03 17:15:00+00:00,RS,True,5994.538315715068,5998.771474127984,True,True,5994.538315715068,5998.771474127984,MATCH,5994.538315715068,5998.771474127984
2017-10-06 15:45:00+00:00,RS,True,6058.0,6063.12961472222,True,True,6058.0,6063.12961472222,MATCH,6058.0,6063.12961472222
2017-10-06 20:30:00+00:00,RS,True,6064.5,6068.652054578004,True,True,6064.5,6068.652054578004,MATCH,6064.5,6068.652054578004
2017-10-09 19:30:00+00:00,RL,True,6059.0,6055.138411540349,False,True,6059.0,6055.138411540349,MATCH,,
2017-10-10 15:15:00+00:00,RS,True,6061.908891035345,6066.72197132491,True,True,6061.908891035345,6066.72197132491,MATCH,6061.908891035345,6066.72197132491
2017-10-11 16:00:00+00:00,RL,True,6069.5319569253825,6065.639756909328,True,True,6069.5319569253825,6065.639756909328,MATCH,6069.5319569253825,6065.639756909328
2017-10-11 20:30:00+00:00,RS,True,6082.118026711053,6085.702304973362,False,True,6082.118026711053,6085.702304973362,MATCH,,
2017-10-12 17:45:00+00:00,RS,True,6088.014012924675,6091.5458871992605,True,True,6088.014012924675,6091.5458871992605,MATCH,6088.014012924675,6091.5458871992605
2017-10-13 20:30:00+00:00,RL,True,6098.5384522484665,6095.592088375216,True,True,6098.5384522484665,6095.592088375216,MATCH,6098.5384522484665,6095.592088375216
2017-10-16 22:30:00+00:00,RS,True,6118.5,6120.981731154947,False,True,6118.5,6120.981731154947,MATCH,,
2017-10-17 15:45:00+00:00,RS,True,6115.7092136035335,6118.899511721783,False,True,6115.7092136035335,6118.899511721783,MATCH,,
2017-10-18 15:30:00+00:00,RS,True,6119.75,6122.989172908221,True,True,6119.75,6122.989172908221,MATCH,6119.75,6122.989172908221
2017-10-19 16:00:00+00:00,RS,True,6074.75,6081.418783968129,True,True,6074.75,6081.418783968129,MATCH,6074.75,6081.418783968129
2017-10-20 15:45:00+00:00,RL,True,6112.442044480607,6108.372448990661,True,True,6112.442044480607,6108.372448990661,MATCH,6112.442044480607,6108.372448990661
2017-10-20 20:45:00+00:00,RL,True,6109.25,6105.9451339390625,False,True,6109.25,6105.9451339390625,MATCH,,
2017-10-23 22:30:00+00:00,RL,True,6068.010228461385,6063.492565962454,False,True,6068.010228461385,6063.492565962454,MATCH,,
2017-10-26 15:30:00+00:00,RS,True,6053.1496069923305,6059.527344010031,True,True,6053.1496069923305,6059.527344010031,MATCH,6053.1496069923305,6059.527344010031
2017-10-27 18:45:00+00:00,RS,True,6215.75,6222.134982402628,True,True,6215.75,6222.134982402628,MATCH,6215.75,6222.134982402628
2017-10-31 16:15:00+00:00,RS,True,6243.977236804374,6247.9125519167665,True,True,6243.977236804374,6247.9125519167665,MATCH,6243.977236804374,6247.9125519167665
2017-11-01 15:30:00+00:00,RL,True,6251.75,6246.610449468004,True,True,6251.75,6246.610449468004,MATCH,6251.75,6246.610449468004
2017-11-01 17:30:00+00:00,RL,False,,,True,False,,,N/A,6238.0,6231.604600397863
2017-11-02 15:15:00+00:00,RL,True,6209.25,6202.109693164925,True,True,6209.25,6202.109693164925,MATCH,6209.25,6202.109693164925
2017-11-03 19:00:00+00:00,RL,True,6290.75,6285.635023538602,False,True,6290.75,6285.635023538602,MATCH,,
2017-11-06 16:30:00+00:00,RL,True,6304.5,6299.832638305971,True,True,6304.5,6299.832638305971,MATCH,6304.5,6299.832638305971
2017-11-07 16:00:00+00:00,RS,True,6314.0,6319.14722159029,True,True,6314.0,6319.14722159029,MATCH,6314.0,6319.14722159029
2017-11-08 16:30:00+00:00,RS,True,6326.95470363057,6331.073731917671,True,True,6326.95470363057,6331.073731917671,MATCH,6326.95470363057,6331.073731917671
2017-11-09 16:15:00+00:00,RS,True,6303.672258075532,6312.155639335218,True,True,6303.672258075532,6312.155639335218,MATCH,6303.672258075532,6312.155639335218
2017-11-10 16:30:00+00:00,RS,True,6297.0,6302.67523589578,True,True,6297.0,6302.67523589578,MATCH,6297.0,6302.67523589578
2017-11-10 18:30:00+00:00,RL,True,6300.960816552369,6295.675665562658,True,True,6300.960816552369,6295.675665562658,MATCH,6300.960816552369,6295.675665562658
2017-11-13 16:00:00+00:00,RL,True,6310.965595392316,6305.687341767258,True,True,6310.965595392316,6305.687341767258,MATCH,6310.965595392316,6305.687341767258
2017-11-17 16:15:00+00:00,RS,True,6336.75,6341.425913400923,True,True,6336.75,6341.425913400923,MATCH,6336.75,6341.425913400923
2017-11-20 16:30:00+00:00,RS,True,6316.921400787239,6321.2053953046825,True,True,6316.921400787239,6321.2053953046825,MATCH,6316.921400787239,6321.2053953046825
2017-11-21 21:30:00+00:00,RS,True,6379.312389994263,6382.480566819929,True,True,6379.312389994263,6382.480566819929,MATCH,6379.312389994263,6382.480566819929
2017-11-22 16:45:00+00:00,RS,True,6384.25,6388.210614709433,True,True,6384.25,6388.210614709433,MATCH,6384.25,6388.210614709433
2017-11-22 20:00:00+00:00,RS,True,6391.078578104583,6394.334909161949,True,True,6391.078578104583,6394.334909161949,MATCH,6391.078578104583,6394.334909161949
