year,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
2017,60,0.4666666666666667,-0.012560726699582156,-0.7536436019749293,0.9736571370027788,9.1798416541166,-0.08209766904170575
2018,224,0.5357142857142857,0.2815183615210695,63.06011298071957,1.6726434622620523,9.212282356462936,6.845221470711799
2019,213,0.5070422535211268,0.20661690918037795,44.009401655420504,1.4652040876438648,5.668962641181082,7.763219559028793
2020,235,0.49361702127659574,0.24819490862649746,58.3258035272269,1.5542941619695765,12.314963662028248,4.736173416984388
2021,220,0.45,0.02513617247030771,5.529957943467696,1.0526578610192923,21.073909327248842,0.2624077885880143
2022,188,0.601063829787234,0.4000904414219641,75.21700298732925,2.119855189576321,5.3307581116766585,14.110001131466008
2023,219,0.5799086757990868,0.3322508632720442,72.76293905657768,1.9769919908588807,4.668026647984629,15.587515784210938
2024,221,0.5384615384615384,0.30987146306797836,68.48159333802322,1.824150254327703,6.2523190458812365,10.95299085595064
2025,214,0.48130841121495327,0.1811431566024075,38.764635512915206,1.4599277237389672,9.034533845771897,4.290717836101395
2026,107,0.5327102803738317,0.29098739254894834,31.135651002737475,1.7649328166426679,8.588383585687687,3.625321423070135
