N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,implementation,signals_day,RL,RS
1901,0.5207785376117833,0.2401543684389479,456.53345440244,1.5876136381299126,21.073909327248657,21.663443991957404,ORIGINAL_PHASE33_BATCH,0.8441385435168739,976,925
1299,0.5073133179368745,0.21839027824850174,283.68897144480377,1.5179870636264197,16.440293388692822,17.255712214960663,PHASE36_SINGLE_TRACKER,0.5768206039076377,677,622
1901,0.5207785376117833,0.24015436843894927,456.53345440244254,1.5876136381299153,21.073909327248856,21.66344399195732,PHASE37_CONCURRENT,0.8441385435168739,976,925
