segment,displacement_direction,reversal_direction,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
BEARISH_DISP_Long_REVERSAL,Short,Long,521,0.5047984644913628,0.19261113049238393,100.35039898653203,1.4858905974119876,18.032798205985543,5.564882268422611
BULLISH_DISP_Short_REVERSAL,Long,Short,510,0.4823529411764706,0.17627889579960768,89.90223685779992,1.4375593374304507,14.932801315130428,6.020453561295822
