signal_id,filled,entry_timestamp,entry_price,exit_timestamp,exit_price,stop_price,result_R,exit_reason,mfe_r,mae_r,bars_in_trade,entry_model,direction,entry_timestamp_sig,bos_timestamp,architecture,event_id,failure_definition,displacement_timestamp,displacement_direction,reclaim_level,net_R,fold_test_end
285,True,2020-01-28 17:00:00-06:00,8871.5,2020-01-28 18:00:00-06:00,8873.5,8855.481188479615,0.12485320758377266,TIME,0.5150194812830622,0.2809197170634885,4,RECLAIM_RETEST,Long,2020-01-28 15:30:00-06:00,2020-01-28 15:30:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-01-28 14:45:00-06:00_Long,E_OPEN_BOS,2020-01-28 14:45:00-06:00,Short,8885.0,0.07959391983465552,2020-12-31
286,True,2020-01-29 15:00:00-06:00,8897.93098962341,2020-01-29 15:30:00-06:00,8861.827939772453,8915.982514548889,2.0,TARGET,2.350548765191699,0.0,1,RECLAIM_RETEST,Short,2020-01-29 14:45:00-06:00,2020-01-29 14:45:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-01-29 14:15:00-06:00_Short,E_OPEN_BOS,2020-01-29 14:15:00-06:00,Long,8899.5,1.9598371881049945,2020-12-31
293,True,2020-02-18 10:30:00-06:00,9370.169934239615,2020-02-18 11:30:00-06:00,9386.324116300326,9386.324116300326,-1.000000000000001,STOP,1.0319268519424838,1.1501706301536778,4,RECLAIM_RETEST,Short,2020-02-18 10:15:00-06:00,2020-02-18 10:15:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-02-18 09:30:00-06:00_Short,E_OPEN_BOS,2020-02-18 09:30:00-06:00,Long,9371.75,-1.0448800191353123,2020-12-31
298,True,2020-02-27 11:15:00-06:00,8482.485910818932,2020-02-27 12:15:00-06:00,8477.0,8421.65245321457,-0.09017917170860917,TIME,1.4098177640805214,0.13127497816858535,4,RECLAIM_RETEST,Long,2020-02-27 11:00:00-06:00,2020-02-27 11:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-02-27 10:15:00-06:00_Long,E_OPEN_BOS,2020-02-27 10:15:00-06:00,Short,8476.5,-0.1020969555820022,2020-12-31
301,True,2020-03-05 14:30:00-06:00,8443.810561340066,2020-03-05 15:45:00-06:00,8449.25,8492.862353867049,-0.11089174074407138,TIME,0.6332196998301179,0.6154604572978025,4,RECLAIM_RETEST,Short,2020-03-05 14:00:00-06:00,2020-03-05 14:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-03-05 12:15:00-06:00_Short,E_OPEN_BOS,2020-03-05 12:15:00-06:00,Long,8448.5,-0.125672036481504,2020-12-31
306,True,2020-03-12 13:45:00-05:00,7240.071172801729,2020-03-12 14:45:00-05:00,7038.359764994803,7340.926876705192,2.0,TARGET,2.152294460306432,0.06374282216526841,4,RECLAIM_RETEST,Short,2020-03-12 13:15:00-05:00,2020-03-12 13:15:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-03-12 12:45:00-05:00_Short,E_OPEN_BOS,2020-03-12 12:45:00-05:00,Long,7250.25,1.992811512170953,2020-12-31
319,True,2020-04-08 12:45:00-05:00,7941.799723539243,2020-04-08 13:15:00-05:00,7976.30229067484,7976.30229067484,-0.9999999999999978,STOP,0.8999250234690048,1.1361553564028293,2,RECLAIM_RETEST,Short,2020-04-08 12:30:00-05:00,2020-04-08 12:30:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-04-08 11:30:00-05:00_Short,E_OPEN_BOS,2020-04-08 11:30:00-05:00,Long,7945.25,-1.0210129291872871,2020-12-31
323,True,2020-04-29 13:45:00-05:00,8752.392127880146,2020-04-29 14:45:00-05:00,8752.75,8725.233083278783,0.013176903867809316,TIME,1.9002094100638276,0.161718791828407,4,RECLAIM_RETEST,Long,2020-04-29 13:30:00-05:00,2020-04-29 13:30:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-04-29 13:00:00-05:00_Long,E_OPEN_BOS,2020-04-29 13:00:00-05:00,Short,8749.75,-0.013517702317402588,2020-12-31
326,True,2020-05-04 11:00:00-05:00,8544.0,2020-05-04 11:30:00-05:00,8516.913765191946,8516.913765191946,-1.0000000000000044,STOP,0.4245698998585334,1.0521949692146262,2,RECLAIM_RETEST,Long,2020-05-04 10:30:00-05:00,2020-05-04 10:30:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-05-04 09:45:00-05:00_Long,E_OPEN_BOS,2020-05-04 09:45:00-05:00,Short,8541.75,-1.0267663632519552,2020-12-31
327,True,2020-05-04 19:15:00-05:00,8609.118324009436,2020-05-04 20:15:00-05:00,8630.5,8590.341029636098,1.1386984495979606,TIME,1.964163486883041,0.08618515411538447,4,RECLAIM_RETEST,Long,2020-05-04 19:00:00-05:00,2020-05-04 19:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,E_OPEN_BOS_2020-05-04 15:00:00-05:00_Long,E_OPEN_BOS,2020-05-04 15:00:00-05:00,Short,8607.25,1.1000879881765626,2020-12-31
