failure_definition,signals,filled,unfilled,fill_rate,net_N,net_WinRate,net_AvgR,net_TotalR,net_PF,net_MaxDD,net_ReturnMaxDD
A_MID_1,1231,1230,1,0.9991876523151909,1230,0.4504065040650406,0.15052258747709746,185.14278259682987,1.3144540688546733,22.955757587725827,8.065200283166588
A_MID_2,1869,1867,2,0.9989299090422686,1867,0.43599357257632565,0.09307258170593588,173.76651004498228,1.1834844625719483,46.44096678486554,3.741664355308175
A_MID_3,2250,2247,3,0.9986666666666667,2247,0.4379172229639519,0.10603276340700701,238.25561937554477,1.2095911334080243,38.890833167074305,6.126266782508953
A_MID_4,2489,2486,3,0.9987946966653274,2486,0.44006436041834274,0.11986091153250462,297.9742260698065,1.239497365333874,33.23367282466921,8.96603356607102
B_OPEN_1,476,475,1,0.9978991596638656,475,0.45263157894736844,0.15284156311220942,72.59974247829948,1.3162162809760554,17.443712955692533,4.161943197684153
B_OPEN_2,987,987,0,1.0,987,0.4072948328267477,0.04361245895403195,43.045496987629534,1.081794206313462,34.58752473064186,1.2445382351832355
B_OPEN_3,1373,1373,0,1.0,1373,0.4115076474872542,0.06749934392024244,92.67659920249287,1.130900902357234,31.144947754231886,2.9756543479800905
B_OPEN_4,1652,1652,0,1.0,1652,0.41828087167070216,0.0946892319479409,156.42661117799838,1.1869818727105723,38.29849334731088,4.084406395819271
C_EXT_MID_1,735,735,0,1.0,735,0.4530612244897959,0.15252400491793183,112.1051436146799,1.3119214943590476,17.059527663931604,6.571409585489293
C_EXT_MID_2,1356,1355,1,0.9992625368731564,1355,0.44280442804428044,0.10294428701440522,139.48950890451908,1.2023208420699014,35.272253548228576,3.9546525915559045
C_EXT_MID_3,1790,1789,1,0.9994413407821229,1789,0.44438233650083847,0.12733343613071896,227.7995172378562,1.253089547044713,26.62559541534094,8.555659082335652
C_EXT_MID_4,2070,2069,1,0.9995169082125603,2069,0.44224262928951186,0.12764589738208804,264.09936168354017,1.2540591875154803,25.29406449696532,10.441159494759166
C_EXT_OPEN_1,235,235,0,1.0,235,0.4723404255319149,0.24104366167107963,56.64526049270371,1.5074969301996037,11.14116995330891,5.084318857902366
C_EXT_OPEN_2,636,636,0,1.0,636,0.4119496855345912,0.06809802071552662,43.31034117507493,1.1274222706986257,21.75032259077885,1.9912505202767223
C_EXT_OPEN_3,984,984,0,1.0,984,0.4186991869918699,0.10225142573298913,100.6154029212613,1.201338395028052,28.754797576786608,3.499082288879922
C_EXT_OPEN_4,1268,1268,0,1.0,1268,0.42902208201892744,0.14116038557022514,178.99136890304547,1.2847134706030559,30.641626048384182,5.841444857411024
D_OPP_BOS,1926,1925,1,0.9994807892004154,1925,0.44311688311688313,0.11162632367591774,214.88067307614165,1.2320427965289484,24.90366084249908,8.628477332514876
E_MID_BOS,1358,1357,1,0.9992636229749632,1357,0.4487840825350037,0.13860310605458645,188.0844149160738,1.2905341248202058,22.27505007821378,8.443725794359972
E_OPEN_BOS,1027,1026,1,0.9990262901655307,1026,0.4415204678362573,0.15230067331348118,156.26049081963168,1.317999990114536,29.64470060910503,5.27111043825614
