failure_definition,entry_model,stop_atr,target_r,hold_minutes,management,max_bars,train_signals,test_signals,architecture,test_end
E_OPEN_BOS,RECLAIM_RETEST,1.0,2.0,60,FIXED,4,247,130,DISPLACEMENT_FAILURE_REVERSAL,2020-12-31
B_OPEN_4,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,595,197,DISPLACEMENT_FAILURE_REVERSAL,2021-12-31
D_OPP_BOS,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,931,221,DISPLACEMENT_FAILURE_REVERSAL,2022-12-31
D_OPP_BOS,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,1152,232,DISPLACEMENT_FAILURE_REVERSAL,2023-12-31
A_MID_4,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,1772,301,DISPLACEMENT_FAILURE_REVERSAL,2024-12-31
A_MID_4,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,2073,275,DISPLACEMENT_FAILURE_REVERSAL,2025-12-31
A_MID_4,RECLAIM_RETEST,0.75,2.5,45,FIXED,3,2350,136,DISPLACEMENT_FAILURE_REVERSAL,2026-06-26
