signal_id,direction,mfe_r,mae_r,result_R,P_p0.5R_before_l0.5R,P_p0.5R_before_l1.0R,P_p1.0R_before_l0.5R,P_p1.0R_before_l1.0R,P_p1.5R_before_l0.5R,P_p1.5R_before_l1.0R,P_p2.0R_before_l0.5R,P_p2.0R_before_l1.0R,P_p2.5R_before_l0.5R,P_p2.5R_before_l1.0R,P_p3.0R_before_l0.5R,P_p3.0R_before_l1.0R
285,Long,0.5150194812830622,0.2809197170634885,0.12485320758377266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
286,Short,2.350548765191699,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
293,Short,1.0319268519424838,1.1501706301536778,-1.000000000000001,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,Long,1.4098177640805214,0.13127497816858535,-0.09017917170860917,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Short,0.6332196998301179,0.6154604572978025,-0.11089174074407138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Short,2.152294460306432,0.06374282216526841,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
319,Short,0.8999250234690048,1.1361553564028293,-0.9999999999999978,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Long,1.9002094100638276,0.161718791828407,0.013176903867809316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
326,Long,0.4245698998585334,1.0521949692146262,-1.0000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Long,1.964163486883041,0.08618515411538447,1.1386984495979606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
329,Long,1.1848414684710544,0.4568063492900451,0.2997791667215921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
331,Long,1.3763543028512284,0.044043337691239304,0.9579425947844549,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
337,Short,0.5065714692376643,1.0249236703180649,-1.0000000000000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Short,2.0099724382027215,0.1771876529545099,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
345,Short,0.6576816579863751,1.0461490566582865,-0.9999999999999934,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Long,0.8369018529210637,1.2187244292631383,-0.9999999999999943,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Short,1.2757004594834886,0.6502331184416391,-0.2388686649042331,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Short,3.1957995275187367,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
371,Short,0.3480357452376818,0.9307527689168638,-0.3337492913143273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,Short,0.049372145019594124,1.0227087182630212,-1.0000000000000224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Long,0.32885992600669617,1.342161128696864,-0.9999999999999907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Long,0.6314992418782165,1.0744912473748758,-1.0000000000000053,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Short,0.6864888223394842,0.03748230122815319,0.32815968037166365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
387,Long,0.4474094281412303,1.2676600464001524,-1.0000000000000244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Short,1.1960079219562572,0.4386231586573279,0.12059273734205644,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Short,0.11411584363999666,1.6069886834960612,-1.0000000000000233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Short,0.11410802587404952,0.8528073512692121,-0.6486140418103867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Short,1.7946378875120306,0.07194501705314567,-0.007580089309518898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
404,Long,0.40550718392244334,0.2703381226149622,-0.19660954371997252,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Long,0.571570968734972,0.3479127635778091,0.5053018709106275,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,Short,0.10419921017987904,2.1030449940564035,-0.9999999999999651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,Long,0.5076155029568452,3.1635323309274814,-0.9999999999999801,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,Long,0.9660841515386119,0.4124853680726658,0.944374395324261,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
716,Long,0.6241224611185894,0.5201020509321579,0.5432176976402537,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
718,Long,0.6861131243629239,0.2607229872579111,0.28816751223242804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
719,Long,0.08445607274167768,1.323145139619617,-1.0000000000000415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Long,1.3202658258656093,0.8832220313144944,1.1700280174215112,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,Long,1.1883633101213407,0.0,0.8148705810936613,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
726,Short,0.04781020325376425,0.946642024424532,-0.9275179431230264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,Short,0.10915328879994961,1.8010292651991686,-1.0000000000000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,Long,1.316359719348224,0.20670111295550625,1.011747552887478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
731,Long,0.6786913662138984,0.0,0.35732400898551747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,Long,1.4496577581436716,0.09537222093050471,1.297062204654864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
735,Long,1.6183804441632832,0.6473521776653133,0.7173361968723742,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
736,Long,0.2072584369633487,0.6435919884651354,-0.07635837151281269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,Long,0.5629514037140337,0.8716666896217297,-0.43583334481086483,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739,Short,1.7014551270775824,0.8544218387191403,-0.6605277240724924,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
740,Long,1.285832142223849,0.0,0.7374121330307852,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
742,Long,0.646761697125705,1.223673679580381,-1.000000000000018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,Long,2.2762616555890784,0.0,1.5866857834489698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
744,Short,0.7246387213319933,1.2612689163721718,-0.9999999999999939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,Long,0.0857596524663758,1.2662160452388427,-0.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,Short,2.675193749052665,0.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
748,Short,2.4303550312976534,0.0,2.1140359948375687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
749,Long,0.1573762909441801,1.1834697079002343,-0.9999999999999832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,Short,2.758610234329517,0.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
751,Long,1.3522489936018642,0.5868321994883534,0.2939093517657081,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,Long,3.123743000137719,0.1452903720994288,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
753,Long,1.2417210012312372,1.0185992588224992,-0.9999999999999846,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,Long,0.1412484165872566,1.2983989063213202,-0.999999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,Long,0.22579070722471972,1.0751938439272368,-1.0000000000000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,Short,0.1345949203603091,1.7143142487997263,-1.0000000000000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,Short,3.392609294758267,0.6485636636976108,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
760,Long,1.5405616872409913,0.7792375976160828,1.236032051391028,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
762,Short,1.5988067814956222,0.6901323533349986,-0.5032801790631111,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
765,Short,0.5603374303544395,0.8313615309896822,-0.5024145037628898,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,Short,1.5866645882844466,0.0,0.03699900854045803,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
767,Long,1.1170903601069664,1.363122797767199,-1.0000000000000147,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,Long,0.7211924623768494,1.811566780494229,-0.9999999999999956,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,Short,2.333405431405686,0.5459498248414277,-0.5459498248414277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
771,Long,5.179950340331978,0.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
772,Short,1.6097165431649347,0.0,1.1947537929873313,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
773,Short,1.1093157947087413,0.7190845133384527,-0.6372158428288769,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Long,2.690721167696734,0.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
777,Short,0.8216233041649095,0.5791770832637887,0.3636693313516812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
