policy,flip_count,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
IGNORE,0,2873,0.4622345979812043,0.2332942933896367,670.2545049084263,1.4702085888188157,15.058110009993868,44.511197252748666
EXIT_ON_CONFIRMED_REVERSAL,0,2873,0.4622345979812043,0.2332942933896367,670.2545049084263,1.4702085888188157,15.058110009993868,44.511197252748666
EXIT_AND_FLIP,282,2873,0.4622345979812043,0.2332942933896367,670.2545049084263,1.4702085888188157,15.058110009993868,44.511197252748666
