field,mismatches
model,0
direction,0
setup_timestamp,0
bos_timestamp,0
retest_timestamp,0
confirm_timestamp,0
entry_timestamp,0
exit_timestamp,0
entry_price,0
stop_price,0
target_price,0
exit_price,0
result_R,0
score,0
htf_regime,0
session_bucket,0
exit_reason,0
