TYPE,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,overlap_rate
CORE ONLY,220,0.15363128491620112,1.1293177255363591,2.379433391039224,3.814394390678118,248.449899617999,5.369210116477902,0.6363636363636364,0.8220576719839979,2.3817807984094834,0.020780202134693494
P54 ONLY (core-unauth),10367,7.1201923076923075,0.8231322210329965,2.1507526881717807,2.6303139776235045,8533.411735449075,122.74102670883076,0.5776984662872576,0.9186889460014089,2.343376928789128,
BOTH (core-auth episodes),220,0.15363128491620112,1.1293177255363591,2.379433391039224,3.814394390678118,248.449899617999,5.369210116477902,0.6363636363636364,0.8220576719839979,2.3817807984094834,
