bucket,days,pct
0,280,0.19217570350034316
1,74,0.05078929306794784
2,55,0.03774879890185312
3,22,0.015099519560741249
4,19,0.013040494166094716
5,52,0.03568977350720659
6-10,579,0.3973919011667811
11+,376,0.25806451612903225
