set,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
retained,13007,7.131030701754386,0.8637216982618513,2.1699186991868356,2.7624295811002533,11234.4281292919,85.94471434960724,0.5886061351579919,0.8959084413658922,2.381494739910306
suppressed,41240,22.609649122807017,0.7982517425471098,2.1870905587667893,2.572064117888158,32919.90186264281,239.70488884468068,0.5599418040737149,0.8969916617788073,2.2712127854395905
