MODEL,EVENTS/DAY,EPISODES/DAY,N,AvgR,PF,TotalR,MaxDD,LONG_AvgR,SHORT_AvgR,CORE_UNAUTH_AvgR,CORE_UNAUTH_PF
RAW TOP 10%,29.740679824561404,29.740679824561404,54247,0.8139497113561064,2.616489055453697,44154.329991934705,312.53491822561773,0.8293497194134962,0.7932100656200538,0.8076213578383081,2.59703887268067
RAW TOP 20%,59.44821917808219,59.44821917808219,108493,0.6134566303895433,2.071768910931429,66555.75020085272,1137.2238453694808,0.6218208351633303,0.6020030219175897,0.6097446953269624,2.0625242566263493
FAM-A,29.740679824561404,7.131030701754386,13007,0.8637216982618513,2.7624295811002533,11234.4281292919,85.94471434960724,0.9048851066136814,0.8085012267878935,0.8595894429225631,2.7488113063263326
FAM-B,29.740679824561404,7.276864035087719,13273,0.8556781983835435,2.7393406224229055,11357.416727144773,120.99459977284096,0.8997624974459927,0.8022731769768343,0.8526588338139601,2.729576499528006
FAM-C,29.740679824561404,4.479714912280702,8171,0.7629514866346249,2.4606993613270336,6234.07659729152,105.19377143154634,0.800079664786281,0.7258142195776687,0.7627407523427832,2.4598659467136867
FAM-D,29.740679824561404,8.366776315789474,15261,0.8567482703964442,2.7399055856622354,13074.835354520135,130.93961213916918,0.8998475980300268,0.7991835577765676,0.853117373996374,2.7280073931909405
FAM-E,29.740679824561404,17.634320175438596,32165,0.7670251127686466,2.478388467008037,24671.362752203517,184.2956038963166,0.7894206643314965,0.7377750580783378,0.7606861251660636,2.4599393179146487
FAM-F,29.740679824561404,4.479714912280702,8171,0.7629514866346249,2.4606993613270336,6234.07659729152,105.19377143154634,0.800079664786281,0.7258142195776687,0.7627407523427832,2.4598659467136867
FINAL P54 WF,7.271291208791209,7.271291208791209,10587,0.8294948177072894,2.6499530084335507,8781.861635067073,126.009088598169,0.8654163109113188,0.7826702603127419,0.8231322210329965,2.6303139776235045
CORE,,,1135,1.648,17.78,,,,,,
