YEAR,RAW_D10_EVENTS_DAY,RAW_D10_AVGR,EPISODES_DAY,EPISODE_AVGR,EPISODE_PF,MAXDD,stage
2020,29.286501377410467,0.8969153860611335,29.286501377410467,0.8969153860611335,2.8938876212135782,36.47488598595555,raw_d10
2021,28.872222222222224,0.8241327393282853,28.872222222222224,0.8241327393282853,2.6512392288218303,28.784958393213856,raw_d10
2022,31.1191135734072,0.8692571554156735,31.1191135734072,0.8692571554156735,2.814514286051807,28.20145229186619,raw_d10
2023,31.7,0.642657780011551,31.7,0.642657780011551,2.1235855742372354,312.53491822571505,raw_d10
2024,29.134986225895318,0.8466283434861104,29.134986225895318,0.8466283434861104,2.727366101298415,28.92126961471331,raw_d10
2020,29.286501377410467,0.8969153860611335,7.132231404958677,0.9650087414577605,3.130596389646312,15.425080279255269,consolidated
2021,28.872222222222224,0.8241327393282853,6.883333333333334,0.8652272908712919,2.774581955836349,11.50890899466549,consolidated
2022,31.1191135734072,0.8692571554156735,7.246537396121884,0.914294382838021,2.954209632199674,12.965654102195913,consolidated
2023,31.7,0.642657780011551,7.913888888888889,0.6709832154371795,2.1832732599946683,85.94471434960974,consolidated
2024,29.134986225895318,0.8466283434861104,6.818181818181818,0.924671508926833,2.982965531245586,10.093688908523745,consolidated
