metric,N,pct
immediate_adverse_mae_gt_0.5R,6657,0.6287900255029754
never_reached_0.5R,1921,0.18144894682157361
never_reached_1R,2914,0.27524322282044017
hit_stop_before_favorable,1228,0.11599131009728912
losers,4458,0.421082459620289
