event_type,N,episodes_day,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
E1,2011,1.3811813186813187,1.3830811554332876,0.9359975493562527,2.1796844181459933,3.0114113716969007,1882.2910717554241,22.5171114272639,0.6111387369467927,0.8766181330672027,2.4035585109407824
E10,29,0.019917582417582416,0.02169035153328347,0.4947287539999714,-1.0775549188156126,1.7696464298428005,14.34713386599917,5.468945237820808,0.4827586206896552,1.228018288820198,2.2138155473439123
E11,939,0.6449175824175825,0.6466942148760331,0.8008207883034854,2.1240740740739223,2.5591427750802205,751.9707202169727,13.001944034580788,0.5740149094781682,0.8816050110196308,2.353083624040093
E12,752,0.5164835164835165,0.5179063360881543,0.8165546605720916,2.152977193342858,2.61888195586699,614.0491047502129,11.266107784402607,0.5704787234042553,0.8997726025920476,2.483699867744867
E13,1115,0.7657967032967034,0.7657967032967034,0.9702209214976388,2.2009208103130433,3.151835379492614,1081.7963274698673,7.183487598143756,0.6197309417040359,0.8300786845127429,2.4734699199473766
E14,801,0.5501373626373627,0.5508940852819807,1.034360049492926,2.2446540880503614,3.3862014374726277,828.5223996438336,10.382585283557091,0.634207240948814,0.8349582460399503,2.5028348111541536
E16,2,0.0013736263736263737,0.02631578947368421,0.6958470725657386,0.6958470725657386,2.325616747994034,1.3916941451314773,1.0498465316143855,0.5,0.5156537753222836,2.701353836444466
E2,1418,0.9739010989010989,0.9752407152682255,0.9532772430499943,2.2065922444184087,3.0594771923929076,1351.747130644892,24.388468735721517,0.614950634696756,0.8759374593254518,2.546470792134611
E3,314,0.21565934065934067,0.21715076071922546,0.9701862139640237,2.223101343101426,3.122859338628417,304.63847118470346,11.224435622209427,0.6178343949044586,0.8573587279515995,2.3889441587987306
E4,197,0.1353021978021978,0.13539518900343642,0.8032049607448064,2.1616666666666258,2.5822727483527763,158.23137726672687,9.667751087916074,0.5685279187817259,0.9903914762580652,2.5012507674695463
E5,1583,1.0872252747252746,1.0879725085910652,0.7254751836941303,2.0867684478370276,2.34318414383289,1148.4272157878083,28.156669448775233,0.5483259633607075,0.9859883606315795,2.133540772842721
E6,1397,0.959478021978022,0.9601374570446736,0.4501529535293958,-1.0474437627811861,1.7120842991458192,628.8636760805659,58.638405781530196,0.47100930565497495,1.0777686693177684,1.9825348572528383
E9,29,0.019917582417582416,0.021497405485544848,0.5374245605150043,-1.055069515089917,1.8930622469485447,15.585312254935124,4.566913335281619,0.4827586206896552,1.1628693814587836,2.5474729335237574
