regime,N,episodes_day,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE
LOW,2426,1.6662087912087913,1.6673539518900344,0.8663662226671895,2.118779342723109,2.7210854858251396,2101.8044561906017,100.16801812371591,0.6055234954657873,0.8603666140680932,2.429265019087748
MEDIUM,3330,2.287087912087912,2.287087912087912,0.9567278960867202,2.1975791433891008,3.0686827964855774,3185.903893968778,57.81720999689378,0.6192192192192192,0.8710875614113054,2.4410810718668916
HIGH,4831,3.3179945054945055,3.3179945054945055,0.7232774342595101,2.1214452214453754,2.364253827770441,3494.153284907693,19.823733742328386,0.5377768577934176,0.9763879126069643,2.234647793579664
