position,N,AvgR,PF
first,13007,0.8637216982618513,2.7624295811002533
event_2,10890,0.875308420750814,2.806388422481429
event_3,8639,0.8636356832262854,2.7650229086369347
event_4,6632,0.8045155404888712,2.587567082867971
event_5plus,15079,0.7023872557034532,2.3114976015741817
