TYPE,N,PER_DAY,AVGR,PF,MEDIAN_GAP
LONG->SHORT,3513,1.925986842105263,0.7231583962120878,2.344301490363438,66.0
SHORT->LONG,3513,1.925986842105263,0.8229650073149467,2.6409104367617884,61.0
LONG->reset->LONG,3938,2.1589912280701755,0.9777673808552432,3.1583417240915597,100.0
SHORT->reset->SHORT,2042,1.1195175438596492,0.9553226586257022,3.0780608126639053,83.5
