TYPE,N,AvgR,PF,TotalR,MaxDD,trades_per_day,median_R,win_rate,MAE,MFE
CORE,1135,1.648,17.78,,8.39,,,,,
P54 ALL,13007,0.8637216982618513,2.7624295811002533,11234.4281292919,85.94471434960724,7.131030701754386,2.1699186991868356,0.5886061351579919,0.8959084413658922,2.381494739910306
P54 CORE-UNAUTHORIZED,12707,0.8595894429225631,2.7488113063263326,10922.80305121701,86.92664457985666,6.96655701754386,2.165843621398937,0.5881010466671913,0.8974755795937674,2.384033597961856
