EVENTS_PER_EPISODE,EPISODE_COUNT,PERCENT,AVGR_OF_FIRST_EVENT,AVGR_OF_SUPPRESSED
1,2493,0.17436005035669325,0.5399846835558819,0.7982438561393124
2,2682,0.18757868233319344,0.7383388405516925,0.7982438561393124
3,2368,0.16561756889075396,0.8767519860736372,0.7982438561393124
4,2013,0.14078892152748637,1.0356403145611064,0.7982438561393124
5+,4742,0.331654776891873,1.0075889794025694,0.7982438561393124
