signal_i,entry_i,direction,entry_price,origin,stop_price,risk_pts,risk_atr,gross_R,cost_R,net_R,exit_reason,exit_i,max_mfe_R,duration,collisions,target_r,rem_mfe_5m,rem_mae_5m,rem_mfe_10m,rem_mae_10m,rem_mfe_15m,rem_mae_15m,rem_mfe_30m,rem_mae_30m,rem_mfe_60m,rem_mae_60m,atr,orig_dir,decision,choice_i,delay_bars,reason,chase_atr
115,116,LONG,5993.0,5993.0,5993.0,0.09375,0.25,-1.0,0.0,-1.0,STOP,116,5.333333333333333,0,1,2.5,2.6666666666666665,0.6666666666666666,4.666666666666667,1.3333333333333333,4.666666666666667,6.666666666666667,4.666666666666667,10.0,4.666666666666667,10.0,0.375,LONG,TAKE,115,1,CHOICE_UP_LIMITED_RETRACE,0.0
122,124,LONG,5993.5,5992.5,5992.5,1.0,2.4347826086956523,-1.0,0.725,-1.725,STOP,127,1.25,3,0,2.5,3.0434782608695654,4.260869565217392,3.0434782608695654,7.304347826086957,3.0434782608695654,7.304347826086957,3.0434782608695654,10.347826086956522,3.0434782608695654,10.347826086956522,0.4107142857142857,SHORT,TAKE,123,2,CHOICE_UP_LIMITED_RETRACE,2.4347826086956523
164,165,LONG,5991.5,5991.0,5991.0,0.5,1.2727272727272727,-1.0,1.45,-2.45,STOP,172,1.0,7,0,2.5,1.2727272727272727,0.0,1.2727272727272727,3.8181818181818183,1.2727272727272727,3.8181818181818183,1.2727272727272727,4.454545454545455,5.090909090909091,4.454545454545455,0.39285714285714285,LONG,TAKE,164,1,CHOICE_UP_LIMITED_RETRACE,1.2727272727272727
253,254,SHORT,5990.25,5990.5,5990.5,0.25,0.7777777777777777,-1.0,2.9,-3.9,STOP,254,0.0,0,0,2.5,0.7777777777777777,0.7777777777777777,1.5555555555555554,0.7777777777777777,6.999999999999999,0.7777777777777777,6.999999999999999,0.7777777777777777,6.999999999999999,4.666666666666666,0.32142857142857145,SHORT,TAKE,253,1,CHOICE_DOWN_LIMITED_RETRACE,0.7777777777777777
313,314,LONG,5991.0,5990.75,5990.75,0.25,0.7368421052631579,-1.0,2.9,-3.9,STOP,315,0.0,1,0,2.5,2.2105263157894735,0.7368421052631579,2.2105263157894735,0.7368421052631579,2.2105263157894735,2.2105263157894735,5.894736842105263,2.9473684210526314,5.894736842105263,4.421052631578947,0.3392857142857143,LONG,TAKE,313,1,CHOICE_UP_LIMITED_RETRACE,0.7368421052631579
334,336,SHORT,5990.75,5991.75,5991.75,1.0,4.3076923076923075,-1.0,0.725,-1.725,STOP,338,0.0,2,0,2.5,3.230769230769231,7.538461538461538,3.230769230769231,9.692307692307692,5.384615384615384,9.692307692307692,5.384615384615384,9.692307692307692,5.384615384615384,9.692307692307692,0.23214285714285715,SHORT,TAKE,335,2,CHOICE_DOWN_LIMITED_RETRACE,4.3076923076923075
342,345,SHORT,5990.75,5992.0,5992.0,1.25,2.1875,-1.0,0.58,-1.58,STOP,394,0.8,49,0,2.5,2.1875,0.4375,2.1875,0.4375,2.1875,0.4375,2.1875,0.4375,2.1875,3.5,0.5714285714285714,LONG,TAKE,344,3,CHOICE_DOWN_LIMITED_RETRACE,2.1875
361,362,SHORT,5990.0,5990.5,5990.5,0.5,1.4,-1.0,1.45,-2.45,STOP,373,0.0,11,0,2.5,0.7,0.7,0.7,0.7,0.7,2.8,0.7,4.8999999999999995,0.7,7.7,0.35714285714285715,SHORT,TAKE,361,1,CHOICE_DOWN_LIMITED_RETRACE,1.4
387,389,LONG,5991.25,5990.75,5990.75,0.5,2.0,2.5,1.45,1.05,TARGET,397,3.0,8,0,2.5,2.0,0.0,6.0,0.0,6.0,4.0,6.0,6.0,6.0,6.0,0.25,LONG,TAKE,388,2,CHOICE_UP_LIMITED_RETRACE,2.0
413,414,SHORT,5990.75,5990.75,5990.75,0.08482142857142858,0.25,-0.0,0.0,-0.0,STOP,414,0.0,0,0,2.5,1.4736842105263157,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,2.9473684210526314,5.157894736842105,2.9473684210526314,5.894736842105263,0.3392857142857143,SHORT,TAKE,413,1,CHOICE_DOWN_LIMITED_RETRACE,0.0
442,443,LONG,5992.25,5991.25,5991.25,1.0,2.8,-1.0,0.725,-1.725,STOP,453,0.5,10,0,2.5,1.4,0.0,1.4,2.1,1.4,4.8999999999999995,1.4,7.0,1.4,7.7,0.35714285714285715,LONG,TAKE,442,1,CHOICE_UP_LIMITED_RETRACE,2.8
466,467,SHORT,5991.25,5992.0,5992.0,0.75,1.3548387096774193,2.5,0.9666666666666667,1.5333333333333332,TARGET,510,2.0,43,0,2.5,2.7096774193548385,0.0,2.7096774193548385,0.9032258064516129,2.7096774193548385,0.9032258064516129,3.161290322580645,0.9032258064516129,6.32258064516129,0.9032258064516129,0.5535714285714286,SHORT,TAKE,466,1,CHOICE_DOWN_LIMITED_RETRACE,1.3548387096774193
500,501,SHORT,5989.5,5990.0,5990.0,0.5,2.1538461538461537,-1.0,1.45,-2.45,STOP,504,0.0,3,0,2.5,0.0,5.384615384615384,1.0769230769230769,5.384615384615384,3.230769230769231,5.384615384615384,8.615384615384615,5.384615384615384,10.769230769230768,6.461538461538462,0.23214285714285715,SHORT,TAKE,500,1,CHOICE_DOWN_LIMITED_RETRACE,2.1538461538461537
552,553,SHORT,5988.25,5988.75,5988.75,0.5,0.823529411764706,-1.0,1.45,-2.45,STOP,557,0.5,4,0,2.5,1.647058823529412,0.823529411764706,2.4705882352941178,0.823529411764706,2.4705882352941178,0.823529411764706,2.4705882352941178,0.823529411764706,4.529411764705883,0.823529411764706,0.6071428571428571,SHORT,TAKE,552,1,CHOICE_DOWN_LIMITED_RETRACE,0.823529411764706
614,615,LONG,5987.5,5987.0,5987.0,0.5,1.2173913043478262,2.5,1.45,1.05,TARGET,615,2.5,0,0,2.5,4.260869565217392,0.0,4.260869565217392,4.260869565217392,4.260869565217392,7.304347826086957,4.260869565217392,8.521739130434783,8.521739130434783,8.521739130434783,0.4107142857142857,LONG,TAKE,614,1,CHOICE_UP_LIMITED_RETRACE,1.2173913043478262
626,628,SHORT,5985.25,5985.75,5985.75,0.5,0.9333333333333333,2.5,1.45,1.05,TARGET,630,1.0,2,0,2.5,2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,4.2,2.3333333333333335,10.733333333333334,0.5357142857142857,SHORT,TAKE,627,2,CHOICE_DOWN_LIMITED_RETRACE,0.9333333333333333
655,656,LONG,5987.25,5986.75,5986.75,0.5,1.037037037037037,-1.0,1.45,-2.45,STOP,656,0.5,0,0,2.5,3.111111111111111,1.037037037037037,3.111111111111111,1.037037037037037,3.6296296296296298,1.037037037037037,7.777777777777778,1.037037037037037,12.444444444444445,1.037037037037037,0.48214285714285715,LONG,TAKE,655,1,CHOICE_UP_LIMITED_RETRACE,1.037037037037037
767,768,SHORT,5995.25,5995.5,5995.5,0.25,0.5,-1.0,2.9,-3.9,STOP,768,0.0,0,0,2.5,5.0,0.5,5.0,0.5,5.0,0.5,5.0,3.5,5.0,7.5,0.5,SHORT,TAKE,767,1,CHOICE_DOWN_LIMITED_RETRACE,0.5
799,800,LONG,5997.5,5997.0,5997.0,0.5,0.7,-1.0,1.45,-2.45,STOP,800,0.0,0,0,2.5,0.0,1.75,2.1,1.75,2.1,1.75,2.1,2.4499999999999997,2.1,4.55,0.7142857142857143,LONG,TAKE,799,1,CHOICE_UP_LIMITED_RETRACE,0.7
905,907,SHORT,5989.5,5990.0,5990.0,0.5,0.6511627906976744,-1.0,1.45,-2.45,STOP,909,0.0,2,0,2.5,0.9767441860465116,2.2790697674418605,0.9767441860465116,8.13953488372093,0.9767441860465116,12.69767441860465,0.9767441860465116,13.674418604651162,0.9767441860465116,26.37209302325581,0.7678571428571429,LONG,TAKE,906,2,CHOICE_DOWN_LIMITED_RETRACE,0.6511627906976744
1088,1089,LONG,5976.0,5974.75,5974.75,1.25,0.5555555555555556,-1.0,0.58,-1.58,STOP,1092,0.8,3,0,2.5,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.1111111111111112,0.7777777777777778,1.1111111111111112,1.1111111111111112,1.2222222222222223,3.2222222222222223,1.2222222222222223,2.25,LONG,TAKE,1088,1,CHOICE_UP_LIMITED_RETRACE,0.5555555555555556
1170,1172,SHORT,5978.75,5979.75,5979.75,1.0,0.6588235294117647,-1.0,0.725,-1.725,STOP,1172,0.0,0,0,2.5,0.32941176470588235,0.9882352941176471,1.1529411764705884,1.3176470588235294,1.1529411764705884,1.647058823529412,1.4823529411764707,1.9764705882352942,1.811764705882353,6.752941176470588,1.5178571428571428,SHORT,TAKE,1171,2,CHOICE_DOWN_LIMITED_RETRACE,0.6588235294117647
1189,1191,LONG,5980.5,5979.0,5979.0,1.5,1.0909090909090908,-1.0,0.48333333333333334,-1.4833333333333334,STOP,1196,0.8333333333333334,5,0,2.5,0.9090909090909091,0.7272727272727273,0.9090909090909091,2.909090909090909,0.9090909090909091,3.272727272727273,6.181818181818182,3.272727272727273,6.181818181818182,3.272727272727273,1.375,LONG,TAKE,1190,2,CHOICE_UP_LIMITED_RETRACE,1.0909090909090908
1215,1216,LONG,5986.5,5985.75,5985.75,0.75,0.44680851063829785,-1.0,0.9666666666666667,-1.9666666666666668,STOP,1217,1.6666666666666667,1,0,2.5,0.7446808510638298,1.7872340425531914,0.7446808510638298,1.7872340425531914,0.7446808510638298,5.212765957446808,0.7446808510638298,5.212765957446808,0.7446808510638298,5.957446808510638,1.6785714285714286,LONG,TAKE,1215,1,CHOICE_UP_LIMITED_RETRACE,0.44680851063829785
1260,1263,LONG,5980.25,5979.0,5979.0,1.25,0.813953488372093,2.5,0.58,1.92,TARGET,1265,2.6,2,0,2.5,2.1162790697674416,0.0,2.7674418604651163,0.0,2.7674418604651163,0.1627906976744186,3.9069767441860463,1.4651162790697674,4.069767441860465,1.4651162790697674,1.5357142857142858,SHORT,TAKE,1262,3,CHOICE_UP_LIMITED_RETRACE,0.813953488372093
1384,1385,LONG,5983.25,5983.0,5983.0,0.25,1.0769230769230769,-1.0,2.9,-3.9,STOP,1386,1.0,1,0,2.5,1.0769230769230769,3.230769230769231,1.0769230769230769,3.230769230769231,1.0769230769230769,3.230769230769231,1.0769230769230769,3.230769230769231,1.0769230769230769,7.538461538461538,0.23214285714285715,LONG,TAKE,1384,1,CHOICE_UP_LIMITED_RETRACE,1.0769230769230769
1466,1469,SHORT,5981.5,5982.0,5982.0,0.5,1.4736842105263157,-1.0,1.45,-2.45,STOP,1471,0.0,2,0,2.5,0.7368421052631579,1.4736842105263157,2.9473684210526314,2.9473684210526314,8.105263157894736,2.9473684210526314,8.105263157894736,2.9473684210526314,8.105263157894736,4.421052631578947,0.3392857142857143,SHORT,TAKE,1468,3,CHOICE_DOWN_LIMITED_RETRACE,1.4736842105263157
1518,1520,LONG,5981.75,5981.0,5981.0,0.75,1.4000000000000001,-1.0,0.9666666666666667,-1.9666666666666668,STOP,1520,0.0,0,0,2.5,2.3333333333333335,1.4000000000000001,2.3333333333333335,1.4000000000000001,2.3333333333333335,1.4000000000000001,7.466666666666667,1.4000000000000001,19.133333333333333,1.4000000000000001,0.5357142857142857,LONG,TAKE,1519,2,CHOICE_UP_LIMITED_RETRACE,1.4000000000000001
1693,1694,SHORT,5993.5,5994.0,5994.0,0.5,1.2173913043478262,-1.0,1.45,-2.45,STOP,1695,0.0,1,0,2.5,1.2173913043478262,1.2173913043478262,1.2173913043478262,3.6521739130434785,1.2173913043478262,4.869565217391305,3.0434782608695654,4.869565217391305,5.478260869565218,4.869565217391305,0.4107142857142857,SHORT,TAKE,1693,1,CHOICE_DOWN_LIMITED_RETRACE,1.2173913043478262
1707,1709,SHORT,5993.75,5994.75,5994.75,1.0,3.1111111111111107,2.5,0.725,1.775,TARGET,1733,1.75,24,0,2.5,3.1111111111111107,2.333333333333333,3.8888888888888884,2.333333333333333,4.666666666666666,2.333333333333333,7.777777777777777,2.333333333333333,7.777777777777777,2.333333333333333,0.32142857142857145,LONG,TAKE,1708,2,CHOICE_DOWN_LIMITED_RETRACE,3.1111111111111107
1736,1737,SHORT,5991.75,5992.75,5992.75,1.0,2.8,-1.0,0.725,-1.725,STOP,1741,0.0,4,0,2.5,0.7,2.8,0.7,2.8,0.7,2.8,0.7,7.0,0.7,8.4,0.35714285714285715,SHORT,TAKE,1736,1,CHOICE_DOWN_LIMITED_RETRACE,2.8
1884,1885,LONG,5991.25,5990.75,5990.75,0.5,0.717948717948718,2.5,1.45,1.05,TARGET,1889,2.5,4,0,2.5,1.794871794871795,0.0,2.5128205128205128,0.0,3.58974358974359,0.0,3.58974358974359,0.358974358974359,3.58974358974359,5.743589743589744,0.6964285714285714,LONG,TAKE,1884,1,CHOICE_UP_LIMITED_RETRACE,0.717948717948718
1920,1922,SHORT,5989.75,5990.5,5990.5,0.75,0.9333333333333333,2.5,0.9666666666666667,1.5333333333333332,TARGET,1928,1.6666666666666667,6,0,2.5,1.2444444444444445,0.0,3.111111111111111,1.5555555555555556,3.111111111111111,1.5555555555555556,3.111111111111111,1.5555555555555556,4.044444444444444,1.5555555555555556,0.8035714285714286,SHORT,TAKE,1921,2,CHOICE_DOWN_LIMITED_RETRACE,0.9333333333333333
2097,2099,LONG,5987.5,5987.0,5987.0,0.5,0.9655172413793103,-1.0,1.45,-2.45,STOP,2102,1.0,3,0,2.5,0.9655172413793103,3.862068965517241,0.9655172413793103,4.827586206896552,0.9655172413793103,4.827586206896552,0.9655172413793103,4.827586206896552,0.9655172413793103,9.172413793103447,0.5178571428571429,LONG,TAKE,2098,2,CHOICE_UP_LIMITED_RETRACE,0.9655172413793103
2141,2142,SHORT,5983.5,5983.5,5983.5,0.10714285714285714,0.25,-0.0,0.0,-0.0,STOP,2142,0.0,0,0,2.5,0.0,2.3333333333333335,0.0,6.416666666666667,0.0,6.416666666666667,0.5833333333333334,16.916666666666668,0.5833333333333334,20.416666666666668,0.42857142857142855,SHORT,TAKE,2141,1,CHOICE_DOWN_LIMITED_RETRACE,0.0
2152,2153,SHORT,5985.0,5985.5,5985.5,0.5,1.2173913043478262,2.5,1.45,1.05,TARGET,2154,1.5,1,0,2.5,4.260869565217392,0.0,4.260869565217392,3.0434782608695654,4.260869565217392,7.91304347826087,4.260869565217392,17.65217391304348,4.260869565217392,17.65217391304348,0.4107142857142857,LONG,TAKE,2152,1,CHOICE_DOWN_LIMITED_RETRACE,1.2173913043478262
2293,2294,SHORT,5996.5,5998.75,5998.75,2.25,0.9,-1.0,0.32222222222222224,-1.3222222222222222,STOP,2296,0.0,2,0,2.5,3.5,0.9,6.8,0.9,6.8,0.9,6.8,0.9,6.8,0.9,2.5,SHORT,TAKE,2293,1,CHOICE_DOWN_LIMITED_RETRACE,0.9
2325,2326,LONG,5996.75,5994.25,5994.25,2.5,0.8045977011494253,-1.0,0.29,-1.29,STOP,2329,0.2,3,0,2.5,0.16091954022988506,1.528735632183908,0.16091954022988506,2.0919540229885056,0.16091954022988506,2.735632183908046,0.16091954022988506,2.735632183908046,0.16091954022988506,3.218390804597701,3.107142857142857,LONG,TAKE,2325,1,CHOICE_UP_LIMITED_RETRACE,0.8045977011494253
2353,2354,SHORT,5991.75,5993.75,5993.75,2.0,0.9655172413793103,-1.0,0.3625,-1.3625,STOP,2354,0.0,0,0,2.5,1.689655172413793,0.9655172413793103,2.413793103448276,0.9655172413793103,2.413793103448276,1.206896551724138,2.413793103448276,2.2931034482758617,2.413793103448276,2.2931034482758617,2.0714285714285716,SHORT,TAKE,2353,1,CHOICE_DOWN_LIMITED_RETRACE,0.9655172413793103
2364,2365,LONG,5992.0,5990.5,5990.5,1.5,0.6666666666666666,-1.0,0.48333333333333334,-1.4833333333333334,STOP,2366,0.6666666666666666,1,0,2.5,1.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,1.2222222222222223,3.2222222222222223,1.2222222222222223,2.25,LONG,TAKE,2364,1,CHOICE_UP_LIMITED_RETRACE,0.6666666666666666
2413,2415,LONG,5994.75,5993.75,5993.75,1.0,0.7671232876712328,2.5,0.725,1.775,TARGET,2417,2.75,2,0,2.5,3.0684931506849313,0.1917808219178082,3.452054794520548,0.1917808219178082,3.452054794520548,0.3835616438356164,3.452054794520548,0.3835616438356164,3.452054794520548,1.1506849315068493,1.3035714285714286,LONG,TAKE,2414,2,CHOICE_UP_LIMITED_RETRACE,0.7671232876712328
2459,2460,SHORT,5993.5,5995.0,5995.0,1.5,1.1830985915492958,-1.0,0.48333333333333334,-1.4833333333333334,STOP,2462,0.0,2,0,2.5,0.1971830985915493,1.5774647887323945,0.1971830985915493,2.7605633802816905,0.1971830985915493,2.9577464788732395,0.5915492957746479,2.9577464788732395,0.7887323943661972,2.9577464788732395,1.2678571428571428,SHORT,TAKE,2459,1,CHOICE_DOWN_LIMITED_RETRACE,1.1830985915492958
2498,2499,LONG,5995.5,5994.75,5994.75,0.75,0.711864406779661,-1.0,0.9666666666666667,-1.9666666666666668,STOP,2499,0.0,0,0,2.5,0.0,1.6610169491525424,0.4745762711864407,1.6610169491525424,0.9491525423728814,1.6610169491525424,2.135593220338983,1.6610169491525424,2.3728813559322033,1.6610169491525424,1.0535714285714286,LONG,TAKE,2498,1,CHOICE_UP_LIMITED_RETRACE,0.711864406779661
