N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,session_bucket
3488,-0.005050322192653408,-0.05819769074614769,0.4733371559633027,-0.004093779624015382,-0.0009565425686380259,1.108081497284091,1.105635279227629,0.8032046570904003,0.8612446189229208,-0.7205394153317488,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1248,0.028455908154337548,1038,-0.038970652161534204,1202,-0.01054655594086174,OTHER
57164,0.009963593030712307,-0.020429743554631428,0.49116576866559375,-0.0032050136862980766,0.013168606717010384,1.9062397104954738,1.8627767171818241,1.4041318105636984,1.396186309537498,-0.07735486124837601,False,False,0.35641149655434246,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,20064,0.01530161233534324,20131,-0.0034306400595055936,16969,0.019542076560151965,OVERNIGHT
38414,-0.0020466998040327335,-0.026314354020413697,0.4943770500338418,-0.0027214167679786307,0.0006747169639458972,2.708398324253133,2.702006766142995,1.928659006045643,1.9529022193122298,-0.1103992454578619,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,13290,-0.013370150494193328,13601,0.017869999072248243,11523,-0.01249522551296819,PREMARKET
8775,-0.028428829979410895,-0.04785826851164133,0.48455840455840454,-0.003100279881509745,-0.02532855009790115,1.6774315930549004,1.7091905183880212,1.1773382087758177,1.2233771443853285,-0.37669343118220233,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3243,-0.04245802899962349,2923,-0.03178945604120916,2609,-0.007225379461516754,RTH_AFTERNOON
11340,0.002935027117360818,0.010375892174562092,0.5010582010582011,-0.001994947839675121,0.0049299749570359385,1.7421877456208559,1.728227589118062,1.3560444555242044,1.3436088992646833,-0.31283015663076613,False,False,0.8940827645549221,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,4059,-0.015417134417133065,4053,0.04641986559759481,3228,-0.028586852279131658,RTH_MIDDAY
8693,-0.01005673436866294,0.0,0.49821695617163236,-0.002086323220496778,-0.007970411148166162,1.5388846146554676,1.5495342302929926,1.2237388426844624,1.2647460037370761,-0.30475054355251957,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3058,-0.0182043951535387,3052,0.026383626260493055,2583,-0.04346766505392584,RTH_MORNING
6910,-0.0011558959130038723,-0.032623858604873476,0.49319826338639655,-0.0019519638465858046,0.0007960679335819324,1.8043780033459835,1.785965184657638,1.444397916788747,1.4726364470003919,0.38616675820771784,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2478,0.062345326774263445,2388,-0.02417559062986069,2044,-0.051246404149400314,RTH_OPEN
