strength_bucket,horizon,N,mean_directional_atr
0.50-0.75,12,63114,-0.005985795626150416
0.75-1.00,12,34252,-0.02688291567368664
1.00-1.25,12,17634,0.033404321797027625
1.25-1.50,12,8858,0.0441008314090196
>=1.50,12,10926,0.04398822362781794
