event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,FDR_q,FDR_survivor
DISPLACEMENT_ALONE,BULLISH,1.00-1.25,none,none,1,8956,-0.0028678713280300937,0.0,0.48358642251004913,0.005405272757624137,-0.00827314408565423,0.5614990839814362,0.5709266174727615,0.4233521751531599,0.4345975435261914,-0.3372994481561437,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3115,-0.00515472682332457,3182,3.642591178502896e-05,2659,-0.0036643808990152113,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,<0.50,none,none,1,19496,-0.0029730171608902795,0.0,0.47804677882642593,0.005405272757624137,-0.008378289918514416,0.4839361943383755,0.49256967206379687,0.3591355284323599,0.37653557201435645,-0.3374045939890039,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,6706,-0.004714069541533665,6754,-0.0011816508793467293,6036,-0.00304316139564021,1.0,False
DISPLACEMENT_PCT_90,BULLISH,1.00-1.25,none,none,1,7238,0.0017117215124118352,0.0,0.48245371649626967,0.005405272757624137,-0.0036935512452123016,0.5713568512779217,0.5710475384181963,0.4288575185464165,0.43553337983235707,-0.3327198553157018,False,False,0.8550789033269364,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2428,-0.010946034590225783,2549,0.0023059602244057597,2261,0.014634462485579296,1.0,False
DISPLACEMENT_ALONE,BULLISH,0.50-0.75,none,none,1,32554,-0.011485447454506413,-0.006369732845949787,0.47610124715856733,0.005405272757624137,-0.01689072021213055,0.48182111122242943,0.5007952804146825,0.3591306090563747,0.3797737529389045,-0.34591702428262006,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,11524,-0.017056635998524753,11242,-0.009780308394785435,9788,-0.006884588906091615,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BULLISH,0.50-0.75,none,none,1,4671,0.006643621794493585,-0.02815049862152956,0.4682080924855491,0.005405272757624139,0.0012383490368694464,0.4537903270009019,0.43619875497031774,0.3261965160623075,0.3455404766106075,-0.32778795503362007,False,False,0.4782165638957139,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1487,-0.03519344820863217,1563,0.019485654051360716,1621,0.03263969007158469,1.0,False
DISPLACEMENT_ALONE,BEARISH,0.50-0.75,none,none,1,30560,-0.012902266149816153,-0.028421135021813933,0.46587041884816754,-0.005755444627417545,-0.007146821522398608,0.5095147405752796,0.5046002298597644,0.3761032845955453,0.39551618225543933,0.26349743411221144,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,10795,-0.014839318666043601,10759,-0.005126379453606067,9006,-0.019869874749843797,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,1.00-1.25,none,none,1,1954,-0.04485816892376773,-0.09250198979119029,0.43398157625383826,-0.005755444627417546,-0.039102724296350186,0.6797302048463999,0.6760136883908151,0.4660804004576283,0.5563108950210232,0.19735566721200093,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,673,-0.08182306724193215,699,-0.052853237467532094,582,0.007488788946019111,1.0,False
DISPLACEMENT_ALONE,BEARISH,>=1.50,none,none,1,5775,0.022027488108057585,-0.05638023319501374,0.4644155844155844,-0.005755444627417545,0.02778293273547513,0.9079739402828597,0.8144873930171804,0.6380636914594024,0.6339176034471238,0.2984271883700852,True,True,0.17663455577253034,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1967,0.025972238050161224,2069,0.02468419109995936,1739,0.014404692463225711,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BEARISH,>=1.50,none,none,1,3433,-0.009054826945181269,-0.08778803005111109,0.44538304689775704,-0.005755444627417546,-0.0032993823177637225,0.9095997009805463,0.836943909880566,0.6368627560118729,0.6588199943773786,0.2673448733168463,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1210,0.00685140738836817,1231,-0.026252901141835896,992,-0.007115022718883878,1.0,False
DISPLACEMENT_PCT_90,BEARISH,>=1.50,none,none,1,5775,0.022027488108057585,-0.05638023319501374,0.4644155844155844,-0.005755444627417545,0.02778293273547513,0.9079739402828597,0.8144873930171804,0.6380636914594024,0.6339176034471238,0.2984271883700852,True,True,0.17663455577253034,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1967,0.025972238050161224,2069,0.02468419109995936,1739,0.014404692463225711,1.0,False
