event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,FDR_q,FDR_survivor
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,>=1.50,none,none,12,1890,0.08430228870381883,-0.1084632396762547,0.4857142857142857,-0.06741948964547309,0.1517217783492919,3.107703923007574,2.6398702551528106,2.2645784508118343,2.025070055403766,0.3265161248395875,True,False,0.3534963139400073,ERA_DEPENDENT,INTERESTING,620,0.33642269259922136,692,-0.1011208648723522,578,0.03585621925669219,1.0,False
DISPLACEMENT_FAILURE,BULLISH,0.50-0.75,none,none,12,4752,0.025897626798049297,-0.06092881512440257,0.4852693602693603,0.05901444083812422,-0.033116814040074924,1.9090606409199609,2.0742372985995337,1.4336299632568479,1.4694501748419855,-0.30853395003006434,False,True,0.5380287473765126,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1692,0.018601148870457603,1685,0.005364411251782145,1375,0.060038796870009514,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BULLISH,0.75-1.00,none,none,12,3898,0.006146438208080978,0.0,0.4943560800410467,0.059014440838124224,-0.052868002630043244,1.748199759629023,1.8386306156476224,1.3093808827499673,1.3391043032395096,-0.32828513862003267,False,False,0.8812485649493924,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1287,0.08060228876475982,1388,-0.1088479288262611,1223,0.058303021836225793,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,0.50-0.75,none,none,12,5828,0.05549913979373982,0.12493141615076206,0.5231640356897735,0.059014440838124224,-0.0035153010443844043,1.9304324174358614,1.9798572801039729,1.458708490391421,1.3880439362576695,-0.2789324370343738,False,True,0.13371758099003664,SESSION_DEPENDENT,NEGLIGIBLE,2024,0.07084786167172055,1977,0.018357255429836926,1827,0.07868671084267415,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,<0.50,none,none,12,17336,-0.029501953812668825,-0.1249081868864495,0.4742731887401938,-0.06741948964547309,0.037917535832804265,2.054851213031104,1.9248785849031358,1.4283424609580644,1.4191402983509387,0.24689774644935877,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,6003,-0.016341959494527252,6113,-0.010549935863321248,5220,-0.06683013994603387,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,0.75-1.00,none,none,12,3333,-0.005438363957414296,0.1475011540749057,0.525052505250525,0.05901444083812423,-0.06445280479553853,2.0290533437321856,2.151793673049535,1.514256979510396,1.478726055023666,-0.33986994078552796,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1132,-0.045399753829676794,1160,-0.08654841013312634,1041,0.12839828051830818,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BEARISH,0.50-0.75,none,none,12,3097,0.026603755010035025,-0.1739968869866224,0.46109137875363254,-0.06741948964547309,0.09402324465550811,1.971082866798129,1.799796403100692,1.3612313625715649,1.4079241137170175,0.3030034552720626,True,False,0.5927449945246532,NO_DIRECTIONAL_INFORMATION,SMALL,996,0.11431838818410431,1170,-0.05919319749982077,931,0.040587277883459574,1.0,False
DISPLACEMENT_FAILURE,BULLISH,1.00-1.25,none,none,12,1843,-0.03624456610493823,-0.1303409579899294,0.47639717851329355,0.05901444083812424,-0.09525900694306247,2.1849155124400954,2.3251241729945398,1.654380629277066,1.6142370188817479,-0.3071665568812215,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,638,-0.11195702038945002,651,0.10579024576489383,554,-0.115955968079202,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,1.25-1.50,none,none,12,1063,0.12242699066122881,-0.21297267279905294,0.46754468485418627,-0.06741948964547309,0.1898464803067019,2.6029992378222158,2.291266143838444,1.8489028069798485,1.8158557624314944,0.35926939791016,True,False,0.24664689983326,ERA_DEPENDENT,INTERESTING,360,0.19381618183954039,384,-0.0829257183876251,319,0.28905812373510903,1.0,False
DISPLACEMENT_ALONE,BEARISH,1.25-1.50,none,none,12,4431,-0.054210210042491824,-0.1871743943836425,0.4640036109230422,-0.0674194896454731,0.01320927960298128,2.391068889337602,2.185540889554919,1.6651187889344818,1.6588158442787793,0.22218949021953577,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1555,-0.07906573934590883,1541,-0.11689551304874067,1335,0.04709945287843915,1.0,False
