direction,N,mean_effect,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,symmetry
BULLISH,68839,0.02664386609650582,24300,0.055615797770896785,23978,0.005911439332420803,20561,0.01658132970535414,ASYMMETRIC
BEARISH,65945,-0.02536061755211035,23140,-0.055664456348552285,23208,0.0047312248047568775,19597,-0.02521470989627057,ASYMMETRIC
