signal_type,N,P_plus_0.25R_1bar,P_plus_0.50R_1bar,P_plus_0.50R_2bars,P_plus_1R_2bars,P_plus_0.50R_3bars,P_plus_1R_3bars,median_bars_to_0.5R,median_bars_to_1R
L,2075,0.8371084337349397,0.6525301204819277,0.7272289156626506,0.4727710843373494,0.7518072289156627,0.5320481927710843,1.0,1.0
RL,976,0.8534836065573771,0.7110655737704918,0.757172131147541,0.5112704918032787,0.7838114754098361,0.569672131147541,1.0,1.0
RS,925,0.8281081081081081,0.6486486486486487,0.7221621621621621,0.4897297297297297,0.7491891891891892,0.5394594594594595,1.0,1.0
S,1836,0.8191721132897604,0.6497821350762527,0.7096949891067538,0.4934640522875817,0.7276688453159041,0.5370370370370371,1.0,1.0
