signal_type,N,expansion_rate,static_chop_rate,median_MFE_R,median_MAE_R
L,2075,0.5648192771084337,0.015421686746987951,1.1623956460550808,0.8283835999229101
RL,976,0.569672131147541,0.025614754098360656,1.1800136981316312,0.6415661996290265
RS,925,0.5394594594594595,0.02918918918918919,1.072213479945838,0.6899495134666475
S,1836,0.5577342047930284,0.007625272331154684,1.2105043866356107,0.9790923841572766
