signal_id,movement_efficiency,directional_efficiency,MFE_R,MAE_R,behavior_class
1,0.865979381443299,0.0,5.2679943700231675,0.8152848429797759,IMMEDIATE_EXPANSION
2,1.0,0.9106318635034751,1.4706209657862686,0.0,CLEAN_WINNER
3,0.48,0.0,0.6282475431928882,0.6806015051256289,IMMEDIATE_EXPANSION
4,0.27122436106698217,1.0,0.30433912209316444,0.8177544866664269,WRONG_DIRECTION
5,1.0,0.8030891877840803,3.039504345824473,0.0,CLEAN_WINNER
6,0.9294117647058823,0.0,4.233840353453747,0.3215574951990188,CLEAN_WINNER
7,0.8643786773597336,0.9461077303626313,3.446151766499721,0.5407024407628621,DELAYED_EXPANSION
8,0.9603513008235471,0.7820796713976566,1.8966634377237406,0.07830492655843528,CLEAN_WINNER
9,0.9193548387096774,0.9322033898305084,2.714201957350499,0.2380878909956578,CLEAN_WINNER
10,0.32258064516129037,0.9090909090909091,0.9747320745827786,2.0469373566238347,IMMEDIATE_EXPANSION
11,0.5238095238095238,1.0,1.266803661296294,1.15163969208754,DELAYED_EXPANSION
12,0.4761904761904762,1.0,1.2042230914998227,1.3246454006498047,DELAYED_EXPANSION
13,0.4117647058823529,0.6,0.517311426831455,0.7390163240449358,DELAYED_EXPANSION
14,0.8264107015517463,0.01970255758993243,2.5197515460349718,0.5292790888583686,IMMEDIATE_EXPANSION
15,0.5142857142857143,1.0,1.1653235571370488,1.1005833595183239,IMMEDIATE_EXPANSION
16,0.14634146341463414,0.0,0.3585946974662255,2.0918024018863157,WRONG_DIRECTION
17,0.9796352856922282,0.0,3.4092286120638224,0.07087123923420334,CLEAN_WINNER
18,0.8717948717948718,0.0,1.5442832097131067,0.22710047201663333,CLEAN_WINNER
19,0.04166666666666667,1.0,0.061707325303382375,1.4192684819777945,WRONG_DIRECTION
20,1.0,0.5760954344058988,1.2764100133922294,0.0,CLEAN_WINNER
21,0.8392857142857143,1.0,3.136025786571264,0.6005155761519442,IMMEDIATE_EXPANSION
22,0.2893422370176874,0.0,0.24217615026741474,0.5948124372391186,STATIC_CHOP
23,0.9148936170212766,0.3023255813953488,2.751507233558068,0.2559541612612157,CLEAN_WINNER
24,0.3181818181818182,0.0,0.4736756781373464,1.0150193102943137,WRONG_DIRECTION
25,0.6805732749535309,0.0,1.3488625455767194,0.6330879588253507,IMMEDIATE_EXPANSION
26,0.39047239490396496,0.9861440970940869,0.8087200897204958,1.26241246734387,IMMEDIATE_EXPANSION
27,0.23076923076923078,1.0,0.5060008313713666,1.6866694379045555,IMMEDIATE_EXPANSION
28,0.8934920770803635,1.0,2.956711433582339,0.3524521386833421,IMMEDIATE_EXPANSION
29,0.3569532132958277,0.8871281918612325,0.6888372752990205,1.2409318082703193,IMMEDIATE_EXPANSION
30,0.9090909090909091,0.16666666666666666,1.700212322727674,0.1700212322727674,CLEAN_WINNER
31,0.11764705882352941,1.0,0.20147226624582248,1.5110419968436686,WRONG_DIRECTION
32,0.44504077252648316,0.0,1.3576316832864659,1.6929465268384882,IMMEDIATE_EXPANSION
33,0.8493740197206665,0.0,1.3977419784143943,0.24787225743669705,CLEAN_WINNER
34,0.2142857142857143,0.0,0.28003937349437813,1.026811036146053,WRONG_DIRECTION
35,0.15151515151515152,0.0,0.3916722061423993,2.1933643543974357,WRONG_DIRECTION
36,0.4871794871794872,0.3617021276595745,1.4664237243848637,1.5436039204051195,IMMEDIATE_EXPANSION
37,0.44885264698868493,1.0,0.753107585769029,0.9247427974726989,IMMEDIATE_EXPANSION
38,0.36209930412383073,0.0,0.8329671152693778,1.4674159724167553,DELAYED_EXPANSION
39,0.625,0.0,0.7497618792115125,0.4498571275269075,DELAYED_EXPANSION
40,0.9047619047619048,0.6271186440677966,1.7690805638655307,0.18621900672268743,CLEAN_WINNER
41,0.19914144797766287,0.9265609925414158,0.458269840516231,1.8429579810653103,WRONG_DIRECTION
42,0.8410607359190181,0.4124520954042814,1.5500202747363185,0.2929147340447394,CLEAN_WINNER
43,0.9347826086956522,0.0,3.248440432003731,0.2266353789770045,CLEAN_WINNER
44,1.0,1.0,3.1014872648401646,0.0,CLEAN_WINNER
45,0.2413793103448276,0.0,0.8493189328921394,2.669288074803867,IMMEDIATE_EXPANSION
46,1.0,0.0,3.131533676659369,0.0,CLEAN_WINNER
47,0.5767940081294861,0.5668495827277312,0.606457773077002,0.4449709250880742,DELAYED_EXPANSION
48,0.0,0.0,0.0,1.483428546591115,WRONG_DIRECTION
49,1.0,0.0,5.73349477749622,0.0,CLEAN_WINNER
50,0.06122448979591836,1.0,0.08369453500188691,1.283316203362266,WRONG_DIRECTION
51,0.271604938271605,0.0,0.9014839335787787,2.4176160036885426,IMMEDIATE_EXPANSION
52,0.5782266949852625,0.0,1.0426279688039197,0.7605194435280094,IMMEDIATE_EXPANSION
53,0.0,1.0,0.0,1.5219162365047016,WRONG_DIRECTION
54,1.0,1.0,3.213366729582743,0.0,CLEAN_WINNER
55,0.3069281539057173,0.0,0.6682969048093215,1.5090755398658255,IMMEDIATE_EXPANSION
56,0.24390243902439024,0.9047619047619048,0.3915437572656254,1.2137856475234388,WRONG_DIRECTION
57,0.9381443298969072,0.0,3.9379999492246665,0.25964834830052747,CLEAN_WINNER
58,0.39393939393939387,0.0,0.8281343274268262,1.2740528114258867,IMMEDIATE_EXPANSION
59,0.2727223178447055,1.0,0.5024341756388904,1.3398579389543426,IMMEDIATE_EXPANSION
60,0.03571428571428571,1.0,0.06453646710541591,1.7424846118462298,WRONG_DIRECTION
61,0.8765432098765432,0.0,3.622440649547943,0.5102029083870342,IMMEDIATE_EXPANSION
62,0.22,0.0,0.5350662441939205,1.897053047596627,IMMEDIATE_EXPANSION
63,0.55,0.8666666666666667,1.6705979374000273,1.3668528578727495,DELAYED_EXPANSION
64,0.9518072289156627,0.0,3.0419968899696723,0.15402515898580618,CLEAN_WINNER
65,0.014705882352941178,0.0,0.03501250097151983,2.3458375650918284,WRONG_DIRECTION
66,0.0,0.0,0.0,1.4058601102259802,WRONG_DIRECTION
67,0.7901234567901234,1.0,2.809072567811407,0.7461599008249049,IMMEDIATE_EXPANSION
68,0.9178082191780822,0.8529411764705882,3.261680460593024,0.29209078751579315,CLEAN_WINNER
69,0.04545454545454545,0.0,0.048876080249185584,1.0263976852328973,WRONG_DIRECTION
70,0.8214285714285714,0.0,2.4495923172972747,0.5325200689776685,IMMEDIATE_EXPANSION
71,0.023255813953488372,0.0,0.05356345112911131,2.249664947422675,WRONG_DIRECTION
72,0.5961538461538461,0.1746031746031746,1.5560181452119555,1.0540768080468086,IMMEDIATE_EXPANSION
73,0.8051948051948052,0.0,3.011333343262073,0.7285483894988887,IMMEDIATE_EXPANSION
74,0.22783183880609512,0.0,0.595545357495667,2.0184236146045333,IMMEDIATE_EXPANSION
75,0.3793103448275862,0.0,0.6724172160729037,1.1003190808465697,IMMEDIATE_EXPANSION
