signal_id,signal_type,timestamp_ct,move_since_displacement_atr,move_since_bos_reclaim_atr,pre_entry_move_5_atr,exhaustion_bucket,realized_R,MFE_R
1,S,2017-10-02 15:00:00+00:00,-0.14110699205419075,-0.2822139841083815,0.5173923041986994,,3.0,5.2679943700231675
2,RL,2017-10-02 16:30:00+00:00,1.1109396838062775,,-2.4782523225515436,1.0-1.5,0.8978693179077242,1.4706209657862686
3,L,2017-10-03 16:15:00+00:00,-0.27485830014687923,-0.47118565739465007,0.7460439575415293,,-0.3141237715964441,0.6282475431928882
4,RS,2017-10-03 17:15:00+00:00,0.524729527466216,,0.5758111939687902,0.5-1.0,-0.4043515781760511,0.30433912209316444
5,L,2017-10-04 15:00:00+00:00,0.22959803877625753,0.09753349676864984,0.6603227100380386,0-0.5,3.0,3.039504345824473
6,S,2017-10-04 16:45:00+00:00,-0.0,-0.16077874759950486,-0.562725616598267,,3.0,4.233840353453747
7,L,2017-10-05 15:30:00+00:00,0.29052142074726467,0.09884573770579413,1.3417297812902937,0-0.5,3.0,3.446151766499721
8,L,2017-10-05 18:45:00+00:00,0.33896069255345423,0.09876183743805822,1.6813919858077722,0-0.5,1.1493781106980525,1.8966634377237406
9,L,2017-10-06 15:30:00+00:00,-0.6428373056882793,-0.7142636729869771,-1.0713955094804657,,2.6189668009522356,2.714201957350499
10,RS,2017-10-06 15:45:00+00:00,0.10965735839055894,,-0.8407064143276185,0-0.5,-1.0,0.9747320745827786
11,L,2017-10-06 20:00:00+00:00,-0.5182378614393549,-0.7773567921590324,0.3454919076262366,,-1.0,1.266803661296294
12,RS,2017-10-06 20:30:00+00:00,0.5419003911749408,,-0.8128505867624113,0.5-1.0,-1.0,1.2042230914998227
13,S,2017-10-09 16:30:00+00:00,-0.05542622430336308,-0.16627867291008924,0.38798357012354157,,-0.4434097944269615,0.517311426831455
14,S,2017-10-09 19:00:00+00:00,0.09205625315444409,0.09205625315444409,2.896579103148725,0-0.5,-0.054985434541626785,2.5197515460349718
15,RL,2017-10-09 19:30:00+00:00,0.582661778568491,,-1.9907610767756778,0.5-1.0,-1.0,1.1653235571370488
16,L,2017-10-10 14:45:00+00:00,-0.3585946974662111,-0.4930677090160403,-3.3170009515624526,,-1.0,0.3585946974662255
17,RS,2017-10-10 15:15:00+00:00,0.6374985537107324,,1.5582536647602212,0.5-1.0,2.5,3.4092286120638224
18,L,2017-10-10 16:45:00+00:00,-0.2384554956174746,-0.3747157788274601,-0.5109760620374456,,-0.09084018880665333,1.5442832097131067
19,S,2017-10-11 15:30:00+00:00,-0.32396345784277875,-0.5553659277304778,0.8793293855732566,,-1.0,0.061707325303382375
20,RL,2017-10-11 16:00:00+00:00,0.8251034584014701,,0.14451980825235125,0.5-1.0,0.6983307803828384,1.2764100133922294
21,L,2017-10-11 18:15:00+00:00,-0.20017185871732535,-0.35030075275531936,0.050042964679331337,,3.0,3.136025786571264
22,RS,2017-10-11 20:30:00+00:00,0.6030446880868254,,-0.313870720314956,0.5-1.0,0.17242710130853697,0.24217615026741474
23,L,2017-10-12 15:15:00+00:00,-0.2879484314189005,-0.2879484314189005,1.295767941385052,,0.8318510240989508,2.751507233558068
24,L,2017-10-12 17:15:00+00:00,-0.15225289654413812,-0.20300386205885082,-0.6597625516912652,,-1.0,0.4736756781373464
25,RS,2017-10-12 17:45:00+00:00,0.5809918889977371,,0.2654397996967249,0.5-1.0,1.2780785989909311,1.3488625455767194
26,S,2017-10-13 14:45:00+00:00,0.39562084741818043,0.09497257300562018,-0.4008643658834137,0-0.5,-1.0,0.8087200897204958
27,S,2017-10-13 19:45:00+00:00,0.18975031176426427,-0.0,0.31625051960710715,0-0.5,-1.0,0.5060008313713666
28,RL,2017-10-13 20:30:00+00:00,0.4552523870278359,,-0.2545510440204379,0-0.5,2.5,2.956711433582339
29,S,2017-10-16 16:15:00+00:00,0.2070354498642586,0.09570261811986203,1.558659644421552,0-0.5,-1.0,0.6888372752990205
30,L,2017-10-16 19:45:00+00:00,0.25503184840914606,0.06375796210228651,1.848980900966309,0-0.5,0.5100636968183022,1.700212322727674
31,RS,2017-10-16 22:30:00+00:00,0.7555209984218167,,0.7555209984218167,0.5-1.0,-1.0,0.20147226624582248
32,L,2017-10-17 15:00:00+00:00,0.5070653425975877,0.09641058354233777,1.23196427716575,0.5-1.0,-1.0,1.3576316832864659
33,RS,2017-10-17 15:45:00+00:00,0.5973077520402873,,-1.0578948659042584,0.5-1.0,0.14394065586118185,1.3977419784143943
34,L,2017-10-17 19:45:00+00:00,0.2100295301208154,0.0,2.030285457834549,0-0.5,-1.0,0.28003937349437813
35,L,2017-10-18 14:45:00+00:00,-0.352504985528177,-0.4112558164495398,-0.5287574782922655,,-1.0,0.3916722061423993
36,RS,2017-10-18 15:30:00+00:00,0.5788514701519154,,-0.5209663231367239,0.5-1.0,-1.0,1.4664237243848637
37,S,2017-10-18 19:45:00+00:00,0.27409450229409793,0.09432481837533764,1.7976968391876031,0-0.5,-0.28556169909489787,0.753107585769029
38,L,2017-10-19 15:00:00+00:00,0.10313024988616165,0.10313024988616165,2.3453124448676057,0-0.5,-1.0,0.8329671152693778
