fold,train_N,test_N,auc_lr,auc_et
1,1353,689,0.6191240521265335,0.6435475194780407
2,2043,672,0.6441721618249867,0.749590090892889
3,2718,630,0.6837804282341446,0.7302470894732557
4,3351,659,0.6190579696448486,0.6475608142589828
5,4010,669,0.6497284226861794,0.6819297327534872
6,4679,631,0.6753330468414267,0.7507929686700636
7,5314,321,0.6281524231164519,0.6872875326112735
