segment,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
L,2075,0.4843373493975904,0.2234855880870855,463.7325952807024,1.4632130263664742,18.514471416182232,25.047034012290812
RL,976,0.5502049180327869,0.2904940885428227,283.52223041779496,1.7423419043528166,13.614190712313487,20.825492782421545
RS,925,0.4897297297297297,0.18703916106448396,173.01122398464767,1.4380047639739844,17.63565782123259,9.810307374888472
S,1836,0.4144880174291939,0.22236989659472456,408.2711301479143,1.4075462233034954,24.916759094385327,16.38540263608813
continuation,3911,0.45154691894656096,0.22296183212186568,872.0037254286167,1.4353704941394574,16.53897268613551,52.724177128583726
reversal,1901,0.5207785376117833,0.24015436843894927,456.53345440244254,1.5876136381299153,21.073909327248856,21.66344399195732
ALL,5812,0.4741913282863042,0.2285851995579937,1328.5371798310593,1.4779205868355416,14.178086803282326,93.7035580515344
