open_location,event_type,N
ABOVE_VAH,ACCEPTANCE_ABOVE_VAH,27768
ABOVE_VAH,ACCEPTANCE_BELOW_VAL,1763
ABOVE_VAH,CLOSE_ABOVE_VAH,387
ABOVE_VAH,CLOSE_BELOW_VAL,200
ABOVE_VAH,FULL_VALUE_TRAVERSAL,3438
ABOVE_VAH,HOLD_ABOVE_VAH,27768
ABOVE_VAH,HOLD_BELOW_VAL,1763
ABOVE_VAH,POC_CROSS_AFTER_OUTSIDE_OPEN,450
ABOVE_VAH,POC_TEST,352
ABOVE_VAH,REJECTION_ABOVE_VAH,515
ABOVE_VAH,REJECTION_BELOW_VAL,149
ABOVE_VAH,RETURN_INTO_VALUE_AFTER_ABOVE,423
ABOVE_VAH,RETURN_INTO_VALUE_AFTER_BELOW,192
ABOVE_VAH,TEST_VAH_FROM_ABOVE,796
ABOVE_VAH,TEST_VAH_FROM_BELOW,539
ABOVE_VAH,TEST_VAL_FROM_ABOVE,302
ABOVE_VAH,TEST_VAL_FROM_BELOW,205
BELOW_VAL,ACCEPTANCE_ABOVE_VAH,1533
BELOW_VAL,ACCEPTANCE_BELOW_VAL,20153
BELOW_VAL,CLOSE_ABOVE_VAH,134
BELOW_VAL,CLOSE_BELOW_VAL,316
BELOW_VAL,FULL_VALUE_TRAVERSAL,2471
BELOW_VAL,HOLD_ABOVE_VAH,1533
BELOW_VAL,HOLD_BELOW_VAL,20153
BELOW_VAL,POC_CROSS_AFTER_OUTSIDE_OPEN,296
BELOW_VAL,POC_TEST,130
BELOW_VAL,REJECTION_ABOVE_VAH,100
BELOW_VAL,REJECTION_BELOW_VAL,375
BELOW_VAL,RETURN_INTO_VALUE_AFTER_ABOVE,119
BELOW_VAL,RETURN_INTO_VALUE_AFTER_BELOW,280
BELOW_VAL,TEST_VAH_FROM_ABOVE,156
BELOW_VAL,TEST_VAH_FROM_BELOW,191
BELOW_VAL,TEST_VAL_FROM_ABOVE,437
BELOW_VAL,TEST_VAL_FROM_BELOW,591
INSIDE_VALUE,ACCEPTANCE_ABOVE_VAH,5871
INSIDE_VALUE,ACCEPTANCE_BELOW_VAL,4172
INSIDE_VALUE,CLOSE_ABOVE_VAH,416
INSIDE_VALUE,CLOSE_BELOW_VAL,363
INSIDE_VALUE,FULL_VALUE_TRAVERSAL,2864
INSIDE_VALUE,HOLD_ABOVE_VAH,5871
INSIDE_VALUE,HOLD_BELOW_VAL,4172
INSIDE_VALUE,POC_TEST,403
INSIDE_VALUE,REJECTION_ABOVE_VAH,353
INSIDE_VALUE,REJECTION_BELOW_VAL,291
INSIDE_VALUE,RETURN_INTO_VALUE_AFTER_ABOVE,410
INSIDE_VALUE,RETURN_INTO_VALUE_AFTER_BELOW,349
INSIDE_VALUE,TEST_VAH_FROM_ABOVE,530
INSIDE_VALUE,TEST_VAH_FROM_BELOW,580
INSIDE_VALUE,TEST_VAL_FROM_ABOVE,564
INSIDE_VALUE,TEST_VAL_FROM_BELOW,414
