feature,horizon,q1,q2,q3,q4,monotonic_increasing
value_width_atr,1,-0.012045128055108085,0.002308383683612208,-0.0007138866136968124,0.0031014490730417567,False
value_width_atr,3,-0.004394230389326882,0.002376575868155586,0.007370572908070691,0.008141347517433685,True
value_width_atr,6,0.014341045687212981,0.004461039867215321,0.018355720706344683,0.02360417963313613,False
value_width_atr,12,0.0389844552705267,-0.0010470279065716939,0.03144670604841646,0.04422584643791765,False
value_width_atr,24,0.05960577811386053,-0.004570148359507419,0.07770883231694861,0.0804831452209177,False
close_beyond_atr,1,-0.0037899610932761794,-0.011595501982870007,-0.002755830575625103,0.010791881790679915,False
close_beyond_atr,3,-0.007592147930152993,-0.012885701393283471,-0.004894529846315195,0.03886673415256777,False
close_beyond_atr,6,-0.012689012876168155,-0.0012287589432625372,-0.00010222365894887425,0.07478273429871106,True
close_beyond_atr,12,-0.036029424753334,0.00888751461418795,0.012764122178909744,0.1279898573336459,True
close_beyond_atr,24,-0.048875419562364755,-0.0055365828295221315,0.04985243737753876,0.21779019406694852,True
