profile_level,event,orientation,open_location,value_migration,time_bucket,horizon,N,sample_tier,mean_directional_atr_return,median_directional_atr_return,positive_rate,mfe_atr,mae_atr,effect_vs_unconditional,standard_error,ci95_low,ci95_high,era1_effect,era2_effect,era3_effect,same_sign_all_eras,session_control_result,raw_p,replication_classification,fdr_q,fdr_survivor_5pct
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_0930_1030,1,1181,STRONG_SAMPLE,-0.02336442785297871,-0.008240223006390037,0.48687552921253174,0.4410085514329952,0.49715381100700434,-0.03206737832659587,0.017589532107184298,-0.059638656236758396,0.011267122334642212,-0.01942074621119401,-0.01097023281806716,-0.03987161317625956,True,False,1.0,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_0930_1030,1,1181,STRONG_SAMPLE,-0.02336442785297871,-0.008240223006390037,0.48687552921253174,0.4410085514329952,0.49715381100700434,-0.03206737832659587,0.017589532107184298,-0.059638656236758396,0.011267122334642212,-0.01942074621119401,-0.01097023281806716,-0.03987161317625956,True,False,1.0,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1030_1200,1,1630,STRONG_SAMPLE,-0.011765021347925418,0.03244990680596738,0.5165644171779141,0.39653812185655907,0.4429473299614613,-0.020467971821542582,0.013598676726099934,-0.03724500969022131,0.016556982597042566,0.03333620248751675,-0.04052673121296635,-0.030176006357366173,False,False,1.0,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1030_1200,1,1630,STRONG_SAMPLE,-0.011765021347925418,0.03244990680596738,0.5165644171779141,0.39653812185655907,0.4429473299614613,-0.020467971821542582,0.013598676726099934,-0.03724500969022131,0.016556982597042566,0.03333620248751675,-0.04052673121296635,-0.030176006357366173,False,False,1.0,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1200_1400,1,2004,STRONG_SAMPLE,-0.004590672241313782,0.013509824170791496,0.5039920159680639,0.4407929282235412,0.4827131340898008,-0.013293622714930946,0.013720217119155435,-0.030264471520194697,0.021528124756188063,-0.026744589828728363,0.02145306948723436,-0.005470999240142385,False,False,1.0,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1200_1400,1,2004,STRONG_SAMPLE,-0.004590672241313782,0.013509824170791496,0.5039920159680639,0.4407929282235412,0.4827131340898008,-0.013293622714930946,0.013720217119155435,-0.030264471520194697,0.021528124756188063,-0.026744589828728363,0.02145306948723436,-0.005470999240142385,False,False,1.0,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1400_1600,1,1931,STRONG_SAMPLE,-0.01660608410283194,0.0,0.4966338684619368,0.4061419963104237,0.45920229778033256,-0.025309034576449105,0.021852001722952406,-0.06512032687189298,0.021000746815802444,-0.05385457912743751,-0.01815216188116246,0.02023170406070482,False,False,1.0,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_DOWN,RTH_1400_1600,1,1931,STRONG_SAMPLE,-0.01660608410283194,0.0,0.4966338684619368,0.4061419963104237,0.45920229778033256,-0.025309034576449105,0.021852001722952406,-0.06512032687189298,0.021000746815802444,-0.05385457912743751,-0.01815216188116246,0.02023170406070482,False,False,1.0,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_0930_1030,1,1691,STRONG_SAMPLE,0.00314458306058782,0.03847925288444012,0.5233589591957422,0.4589519107867497,0.4873384257853945,-0.005558367413029343,0.014458042014129271,-0.025953581394739102,0.02986037597427629,0.009754914669102843,-0.009833347716616744,0.008537261001755654,False,False,0.8278209209182097,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_0930_1030,1,1691,STRONG_SAMPLE,0.00314458306058782,0.03847925288444012,0.5233589591957422,0.4589519107867497,0.4873384257853945,-0.005558367413029343,0.014458042014129271,-0.025953581394739102,0.02986037597427629,0.009754914669102843,-0.009833347716616744,0.008537261001755654,False,False,0.8278209209182097,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1030_1200,1,2345,STRONG_SAMPLE,0.011266948041054325,0.025927431025691512,0.5164179104477612,0.4075953079762522,0.43055724066511086,0.0025639975674371616,0.010652481347482163,-0.009955595499900941,0.03123352389371842,0.018915356473007353,0.009847153486476818,0.0021537820444326445,True,False,0.29020000476935204,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1030_1200,1,2345,STRONG_SAMPLE,0.011266948041054325,0.025927431025691512,0.5164179104477612,0.4075953079762522,0.43055724066511086,0.0025639975674371616,0.010652481347482163,-0.009955595499900941,0.03123352389371842,0.018915356473007353,0.009847153486476818,0.0021537820444326445,True,False,0.29020000476935204,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1200_1400,1,2891,STRONG_SAMPLE,-0.01284226155148026,0.044054234483321734,0.5205811138014528,0.4387929791173996,0.4855292656483378,-0.021545212025097425,0.011425061572117751,-0.036015051544113615,0.009162640930032962,-0.015047033710718524,0.009412003440532482,-0.03695248326464743,False,False,1.0,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1200_1400,1,2891,STRONG_SAMPLE,-0.01284226155148026,0.044054234483321734,0.5205811138014528,0.4387929791173996,0.4855292656483378,-0.021545212025097425,0.011425061572117751,-0.036015051544113615,0.009162640930032962,-0.015047033710718524,0.009412003440532482,-0.03695248326464743,False,False,1.0,NO_INFORMATION,1.0,False
VAH,HOLD_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1400_1600,1,2664,STRONG_SAMPLE,0.010968020380175442,0.01902930976783921,0.5097597597597597,0.43322676224871604,0.4528840180301058,0.002265069906558278,0.013369982419846806,-0.015787478209993676,0.03802955555601731,0.006635918571790133,0.005740357962664473,0.022453181817869775,True,False,0.412018515651923,NO_INFORMATION,1.0,False
VAH,ACCEPTANCE_ABOVE_VAH,continuation_up,ABOVE_VAH,VALUE_UP,RTH_1400_1600,1,2664,STRONG_SAMPLE,0.010968020380175442,0.01902930976783921,0.5097597597597597,0.43322676224871604,0.4528840180301058,0.002265069906558278,0.013369982419846806,-0.015787478209993676,0.03802955555601731,0.006635918571790133,0.005740357962664473,0.022453181817869775,True,False,0.412018515651923,NO_INFORMATION,1.0,False
VAH,TEST_VAH_FROM_ABOVE,reversal_down,ABOVE_VAH,VALUE_UP,RTH_1200_1400,1,68,INSUFFICIENT,0.15421669713422317,0.0456850752866854,0.5294117647058824,0.5015294979401391,0.7153904352259935,0.145513746660606,0.1334820103911786,-0.07424517418192383,0.4320462217135159,0.3500177629029411,-0.1460510966824226,0.18796925706331988,False,False,0.24795247528875922,NO_INFORMATION,1.0,False
POC,POC_TEST,both,INSIDE_VALUE,VALUE_UP,RTH_0930_1030,1,60,INSUFFICIENT,0.052261876398689476,0.09382838679434483,0.5833333333333334,0.5264174159080988,0.5165799118442471,0.04355892592507231,0.07979342402191165,-0.11285805815503598,0.20709805389532962,0.001012315569944952,0.1219337892775318,0.01181595811635653,True,False,0.5124904788974132,NO_INFORMATION,1.0,False
