time_bucket,horizon,event_N,event_mean_directional_atr,unconditional_bucket_signed_atr,survives_control
RTH_0930_1030,1,23289,-0.013959903585838334,0.03323203735722334,False
RTH_1030_1200,1,32943,0.0034664804564165236,0.027851333474389353,False
RTH_1200_1400,1,43841,-0.006609040407927423,0.028145598404556885,False
RTH_1400_1600,1,43528,0.005440525493579577,0.03543398571696549,False
RTH_0930_1030,3,23289,-0.013534548934876085,0.09993257922499742,False
RTH_1030_1200,3,32943,0.0023591506162494833,0.0801899024600616,False
RTH_1200_1400,3,43841,0.002200570610525606,0.08427209189651447,False
RTH_1400_1600,3,43528,0.014368984262827088,0.10026226812147093,False
RTH_0930_1030,6,23289,0.007449445175687257,0.19618459072816366,False
RTH_1030_1200,6,32943,0.002220055847878089,0.15248142939801554,False
RTH_1200_1400,6,43841,0.012279060896800675,0.16839572374168824,False
RTH_1400_1600,6,43528,0.03208091107717234,0.19177629694421325,False
RTH_0930_1030,12,23289,0.030135045517095213,0.3847475530449789,False
RTH_1030_1200,12,32943,-0.005525169999755408,0.27653256846393665,False
RTH_1200_1400,12,43841,0.03568377576242442,0.33456928927068896,False
RTH_1400_1600,12,43528,0.045819367950158806,0.36111098399039493,False
RTH_0930_1030,24,23289,0.0445229229808457,0.6978452308341627,False
RTH_1030_1200,24,32943,-0.029060624278305892,0.5328972413149635,False
RTH_1200_1400,24,43841,0.08936959728201609,0.6425768745814808,False
RTH_1400_1600,24,43528,0.08402242201404242,0.7143107592429084,False
