horizon,minutes_approx,N,mean_signed_return_atr,median_signed_return_atr,positive_rate,mean_mfe_atr,mean_mae_atr
1,5,169337,0.008702950473617164,0.013914825033682554,0.5057666074159811,0.45405927438930516,0.4575712421859095
3,15,169335,0.025339152118511687,0.043801518923524844,0.5172527829450497,0.8861202626265013,0.9033373002713158
6,30,169332,0.04696391110849698,0.08892229186506147,0.526214773344672,1.345368053034193,1.3788726249854724
12,60,169326,0.09057474413086493,0.176311685251811,0.5341117134994036,2.0344686235989418,2.0896595467520283
24,120,169314,0.17829505729415793,0.35691329808048466,0.5480999799189671,3.097472222140117,3.1755863953775543
