event_id,extreme_timestamp,direction,extreme_price,capture_status,matched_signal_time,matched_signal_type,MFE_R_x,MAE_R_x,atr_at_extreme,MFE_R_y,MAE_R_y,bars_to_0.5R,bars_to_1R,bars_to_2R,primary_hit,hit_1.5R_before_0.5R_60m,hit_2R_before_0.75R_90m,hit_2R_before_1R_90m,hit_2R_before_1R_120m,hit_2.5R_before_1R_120m,hit_3R_before_1R_120m,cluster_size
MR00001,2018-01-02 17:30:00+00:00,Long,6478.5,MISSED,,,3.12906435348035,0.2644279735335507,7.563496302127201,3.12906435348035,0.2644279735335507,2,2,6,True,True,True,True,True,True,True,2
MR00002,2018-01-03 17:45:00+00:00,Short,6570.0,MISSED,,,3.284926194337701,0.2649134027691694,6.2913640806573525,3.284926194337701,0.2649134027691694,1,3,3,True,True,True,True,True,True,True,1
MR00003,2018-01-03 21:30:00+00:00,Long,6560.0,MISSED,,,2.7409232620855843,0.0517155332468978,6.445516702727386,2.7409232620855843,0.0517155332468978,1,2,6,True,False,True,True,True,True,False,1
MR00004,2018-01-04 15:30:00+00:00,Short,6594.5,MISSED,,,2.73866073087881,0.7054126124990874,8.033123545368985,2.73866073087881,0.7054126124990874,1,2,3,True,False,True,True,True,True,False,2
MR00005,2018-01-05 20:00:00+00:00,Long,6629.25,MISSED,,,8.244126230019816,0.0629322612978612,5.296700395932888,8.244126230019816,0.0629322612978612,1,2,3,True,True,True,True,True,True,True,2
MR00006,2018-01-08 19:00:00+00:00,Short,6670.75,MISSED,,,2.4023640416963468,0.695421169964732,5.272584190746767,2.4023640416963468,0.695421169964732,1,2,3,True,True,True,True,True,False,False,1
MR00008,2018-01-09 18:15:00+00:00,Short,6688.25,MISSED,,,3.1731695185382067,0.0466642576255618,7.143225892674207,3.1731695185382067,0.0466642576255618,1,2,4,True,True,True,True,True,True,True,1
MR00011,2018-01-10 19:30:00+00:00,Long,6628.25,MISSED,,,3.6001945227702055,0.1038517650799097,9.62910932934592,3.6001945227702055,0.1038517650799097,1,1,2,True,True,True,True,True,True,True,1
MR00012,2018-01-11 19:45:00+00:00,Long,6681.75,MISSED,,,5.824904164448798,0.4568552285842194,5.83700590432244,5.824904164448798,0.4568552285842194,1,2,4,True,True,True,True,True,True,True,1
MR00015,2018-01-15 17:30:00+00:00,Long,6754.25,MISSED,,,2.393699878850158,0.4127068756638203,4.038378725786695,2.393699878850158,0.4127068756638203,1,1,2,True,True,True,True,True,False,False,1
MR00018,2018-01-18 16:45:00+00:00,Long,6783.75,MISSED,,,2.221478333907156,0.185123194492263,10.803616507836288,2.221478333907156,0.185123194492263,1,1,3,True,True,True,True,True,False,False,1
MR00021,2018-01-19 20:30:00+00:00,Long,6817.75,MISSED,,,2.2822764551563655,2.7387317461876384,8.032915246491145,2.2822764551563655,2.7387317461876384,1,2,2,True,False,True,True,True,False,False,1
MR00024,2018-01-23 19:15:00+00:00,Long,6932.5,MISSED,,,2.429352656725442,0.7393681998729607,9.467542695510504,2.429352656725442,0.7393681998729607,1,1,6,True,True,True,True,True,False,False,1
