timestamp,net_R,failure_class
2020-02-20 10:00:00-06:00,-1.0606811607886617,FALSE_RECLAIM
2020-02-20 10:15:00-06:00,-1.0510511931795632,FALSE_RECLAIM
2020-05-05 14:15:00-05:00,-1.0454013090378014,FALSE_RECLAIM
2020-05-28 14:15:00-05:00,-1.0322952274067265,FALSE_RECLAIM
2020-06-04 10:00:00-05:00,-1.0439958684681827,FALSE_RECLAIM
2020-06-16 09:45:00-05:00,-1.0261260687013662,FALSE_RECLAIM
2020-06-19 11:00:00-05:00,-1.0416149849804364,FALSE_RECLAIM
2020-06-19 15:00:00-05:00,-1.0280800612575587,FALSE_RECLAIM
2020-07-09 09:30:00-05:00,-1.0383350466986658,FALSE_RECLAIM
2020-08-19 13:00:00-05:00,-1.0519158931471109,FALSE_RECLAIM
2020-08-26 13:30:00-05:00,-1.03634505594678,FALSE_RECLAIM
2020-10-06 13:45:00-05:00,-1.022429076584046,FALSE_RECLAIM
2020-10-26 09:45:00-05:00,-1.030725489373439,FALSE_RECLAIM
2020-11-18 14:30:00-06:00,-1.035818277910262,FALSE_RECLAIM
2020-11-26 11:15:00-06:00,-1.091732978489275,FALSE_RECLAIM
2020-12-23 14:45:00-06:00,-1.0524027943043623,FALSE_RECLAIM
2020-02-28 14:45:00-06:00,-1.009959766813226,CONTINUATION
2020-03-12 11:45:00-05:00,-1.0125671801598333,CONTINUATION
2020-06-10 13:00:00-05:00,-1.0369575717688018,CONTINUATION
2020-06-29 14:45:00-05:00,-1.0350885669421754,CONTINUATION
2020-07-30 15:00:00-05:00,-1.0267238959483442,CONTINUATION
2020-11-24 09:30:00-06:00,-1.042791483528345,CONTINUATION
2020-12-18 14:45:00-06:00,-1.0324905266709308,CONTINUATION
2021-01-25 09:45:00-06:00,-1.0303907639083374,FALSE_RECLAIM
2021-02-11 11:15:00-06:00,-1.0378156490542234,FALSE_RECLAIM
2021-04-20 09:30:00-05:00,-1.0340953253295393,FALSE_RECLAIM
2021-04-22 12:00:00-05:00,-1.0339626747642192,FALSE_RECLAIM
2021-04-22 12:30:00-05:00,-1.0269466287349827,FALSE_RECLAIM
2021-06-16 13:00:00-05:00,-1.0366502643233815,FALSE_RECLAIM
2021-07-29 15:00:00-05:00,-1.0423192489678867,FALSE_RECLAIM
2021-08-10 09:30:00-05:00,-1.0501049020320126,FALSE_RECLAIM
2021-08-18 13:00:00-05:00,-1.0392572633341866,FALSE_RECLAIM
2021-09-09 12:15:00-05:00,-1.0424062847600934,FALSE_RECLAIM
2021-11-10 12:00:00-06:00,-1.0250701347170126,FALSE_RECLAIM
2021-11-15 10:30:00-06:00,-1.0361969969346725,FALSE_RECLAIM
2021-11-17 11:15:00-06:00,-1.0394577809209857,FALSE_RECLAIM
2021-11-22 10:00:00-06:00,-1.0371344170808565,FALSE_RECLAIM
2021-11-22 14:45:00-06:00,-0.08406163631230258,FALSE_RECLAIM
2021-11-30 09:45:00-06:00,-1.017762967945193,FALSE_RECLAIM
2021-01-26 15:00:00-06:00,-0.13351662957647925,CONTINUATION
2021-03-04 09:30:00-06:00,-1.014955086480028,CONTINUATION
2021-03-17 13:00:00-05:00,-1.021550181363704,CONTINUATION
2021-04-09 14:15:00-05:00,-1.0464795643711489,CONTINUATION
2021-05-11 10:15:00-05:00,-0.3951284967060793,CONTINUATION
2021-06-03 09:45:00-05:00,-1.0277828480246263,CONTINUATION
2021-08-16 10:30:00-05:00,-1.0354046099791085,INSUFFICIENT_EXTENSION
2021-11-16 10:00:00-06:00,-1.0337076362235496,CONTINUATION
2021-12-21 10:00:00-06:00,-1.0237207712663734,INSUFFICIENT_EXTENSION
2022-01-05 13:00:00-06:00,-1.0209554680183919,FALSE_RECLAIM
2022-03-16 13:00:00-05:00,-1.0167018959817735,FALSE_RECLAIM
2022-06-06 10:00:00-05:00,-1.0242870033476699,FALSE_RECLAIM
2022-06-15 13:00:00-05:00,-1.0175071531812327,FALSE_RECLAIM
2022-08-16 13:30:00-05:00,-1.0291582397223202,FALSE_RECLAIM
2022-10-25 15:00:00-05:00,-1.0252196780576062,FALSE_RECLAIM
2022-10-27 15:00:00-05:00,-1.0176558490359664,FALSE_RECLAIM
2022-11-02 13:45:00-05:00,-1.013143266114192,FALSE_RECLAIM
2022-11-08 12:15:00-06:00,-1.025874956674297,FALSE_RECLAIM
2022-11-29 10:00:00-06:00,-1.0294626334677701,FALSE_RECLAIM
2022-12-14 13:00:00-06:00,-1.022028210156676,FALSE_RECLAIM
2022-01-04 13:30:00-06:00,-1.0244396911831009,INSUFFICIENT_EXTENSION
2022-01-28 09:45:00-06:00,-1.011080661848077,CONTINUATION
2022-02-03 15:00:00-06:00,-1.014231283109497,CONTINUATION
2022-02-22 13:45:00-06:00,-1.013906232986609,CONTINUATION
2022-03-08 11:00:00-06:00,-1.0100052290556645,CONTINUATION
2022-05-04 13:45:00-05:00,-1.0112763635836532,CONTINUATION
2022-05-06 09:45:00-05:00,-1.0111822497254175,CONTINUATION
2022-05-20 14:15:00-05:00,-1.0139615171791085,CONTINUATION
2022-06-15 13:45:00-05:00,-1.0109011947986344,CONTINUATION
2022-07-27 13:30:00-05:00,-1.0238599361516352,CONTINUATION
2022-08-17 13:00:00-05:00,-1.0247651625641407,CONTINUATION
2022-09-21 13:30:00-05:00,-1.014596598102047,CONTINUATION
2022-11-02 13:00:00-05:00,-1.0228937036960952,CONTINUATION
2022-11-30 12:30:00-06:00,-1.0253473075808723,CONTINUATION
2022-12-22 13:00:00-06:00,-1.0297765661484342,CONTINUATION
2023-01-18 09:30:00-06:00,-1.0288440503063823,FALSE_RECLAIM
2023-02-02 15:00:00-06:00,-1.0146556316126027,FALSE_RECLAIM
2023-02-07 12:15:00-06:00,-1.0183728122930484,INSUFFICIENT_EXTENSION
2023-02-27 09:30:00-06:00,-1.034449221915202,FALSE_RECLAIM
2023-04-03 09:45:00-05:00,-1.0375020741690861,FALSE_RECLAIM
2023-04-24 09:30:00-05:00,-0.7573593023080807,FALSE_RECLAIM
2023-05-03 14:00:00-05:00,-1.0205252052730007,FALSE_RECLAIM
2023-06-14 13:00:00-05:00,-1.028091849626227,FALSE_RECLAIM
2023-07-20 11:15:00-05:00,-1.027462311473162,INSUFFICIENT_EXTENSION
2023-07-26 09:45:00-05:00,-1.037840769348045,FALSE_RECLAIM
2023-10-12 12:00:00-05:00,-1.0265999486117376,FALSE_RECLAIM
2023-11-16 09:30:00-06:00,-1.036240946034946,FALSE_RECLAIM
2023-02-01 13:30:00-06:00,-1.0192003317320475,CONTINUATION
2023-02-02 14:45:00-06:00,-1.0186747733054848,CONTINUATION
2023-05-24 15:15:00-05:00,-1.0244051624153476,CONTINUATION
2023-06-01 09:30:00-05:00,-1.0309461040291426,CONTINUATION
2023-06-02 09:30:00-05:00,-1.0255229436630482,CONTINUATION
2023-06-27 10:15:00-05:00,-1.0282948580962332,CONTINUATION
2023-08-03 15:00:00-05:00,-1.024431181307468,CONTINUATION
2023-08-23 15:15:00-05:00,-1.028143737208836,CONTINUATION
2023-09-14 09:30:00-05:00,-1.027834149383998,CONTINUATION
2023-09-22 14:00:00-05:00,-1.029656147112293,CONTINUATION
2023-09-27 13:15:00-05:00,-1.0269690139210181,INSUFFICIENT_EXTENSION
2023-10-04 09:30:00-05:00,-0.299301685276556,CONTINUATION
2023-11-10 10:00:00-06:00,-0.389949328755222,CONTINUATION
2024-03-08 10:00:00-06:00,-1.0200641427602581,INSUFFICIENT_EXTENSION
2024-04-24 15:00:00-05:00,-1.021957396716615,FALSE_RECLAIM
2024-04-30 14:45:00-05:00,-1.0222158789513713,FALSE_RECLAIM
2024-08-23 09:45:00-05:00,-1.0177396716822544,FALSE_RECLAIM
2024-12-10 09:45:00-06:00,-1.0316638831445586,FALSE_RECLAIM
2024-12-13 09:30:00-06:00,-1.026895101415726,FALSE_RECLAIM
2024-12-18 13:00:00-06:00,-1.0232775039649256,FALSE_RECLAIM
2024-01-02 14:45:00-06:00,-0.4446919627878212,CONTINUATION
2024-02-21 14:30:00-06:00,-1.0231547114330406,CONTINUATION
2024-03-05 14:45:00-06:00,-1.026601862061862,CONTINUATION
2024-03-20 13:00:00-05:00,-1.0283005701386496,CONTINUATION
2024-04-09 14:15:00-05:00,-1.0247397401358362,CONTINUATION
2024-04-18 09:30:00-05:00,-1.0268138933377375,INSUFFICIENT_EXTENSION
2024-04-25 15:00:00-05:00,-0.7242853859317488,CONTINUATION
2024-05-01 13:30:00-05:00,-1.0172966327261088,CONTINUATION
2024-05-02 15:30:00-05:00,-1.0215407690516365,CONTINUATION
2024-06-12 15:15:00-05:00,-1.0187320122021404,CONTINUATION
2024-07-23 10:00:00-05:00,-1.0228935895670301,CONTINUATION
2024-09-11 10:30:00-05:00,-1.0155515917946354,CONTINUATION
2025-04-02 15:15:00-05:00,-1.007391874403532,FALSE_RECLAIM
2025-05-07 09:45:00-05:00,-1.0207725182413632,FALSE_RECLAIM
2025-05-16 15:45:00-05:00,-1.0273729862656993,FALSE_RECLAIM
2025-05-21 12:15:00-05:00,-1.016513276998475,FALSE_RECLAIM
2025-07-30 13:45:00-05:00,-1.0250411055005648,FALSE_RECLAIM
2025-09-17 13:00:00-05:00,-1.025081003960167,FALSE_RECLAIM
2025-09-17 13:30:00-05:00,-1.0176075071206556,FALSE_RECLAIM
2025-10-10 09:45:00-05:00,-1.021399737538807,FALSE_RECLAIM
2025-10-31 10:45:00-05:00,-1.021086387396105,FALSE_RECLAIM
2025-11-10 09:45:00-06:00,-1.0222008972808772,INSUFFICIENT_EXTENSION
2025-01-29 13:30:00-06:00,-1.0158124618979614,CONTINUATION
2025-04-01 09:30:00-05:00,-1.0157331320091905,CONTINUATION
2025-04-02 15:00:00-05:00,-1.0108652811156018,CONTINUATION
2025-04-09 12:15:00-05:00,-1.0039104462097073,CONTINUATION
2025-04-16 14:45:00-05:00,-0.17850390239944416,INSUFFICIENT_EXTENSION
2025-05-28 15:30:00-05:00,-0.381327876538008,INSUFFICIENT_EXTENSION
2025-08-20 10:15:00-05:00,-0.3930643936204481,CONTINUATION
2025-08-28 09:30:00-05:00,-1.0232005392971366,CONTINUATION
2026-01-21 10:30:00-06:00,-1.0149743139079792,FALSE_RECLAIM
2026-03-10 13:00:00-05:00,-0.17769107407665635,FALSE_RECLAIM
2026-04-21 09:45:00-05:00,-1.0220282937048695,FALSE_RECLAIM
2026-04-23 12:00:00-05:00,-1.0171175880598957,FALSE_RECLAIM
2026-06-17 13:00:00-05:00,-1.010484738777473,FALSE_RECLAIM
2026-03-09 14:15:00-05:00,-1.0120132832287674,CONTINUATION
2026-03-31 11:30:00-05:00,-1.010261273464477,CONTINUATION
2026-05-05 15:15:00-05:00,-1.0251782680097918,CONTINUATION
2026-06-11 12:15:00-05:00,-1.0066214311328257,CONTINUATION
2026-06-24 15:00:00-05:00,-1.0072755924305923,CONTINUATION
