slice,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
full,221,0.3393665158371041,-0.09128472396832012,-20.173923996998745,0.857795767066998,31.499906286515873,-0.6404439369914752
exclude_best,220,0.33636363636363636,-0.10302422325059121,-22.665329115130067,0.8402340694120485,31.499906286515873,-0.7195363982664414
exclude_top_3,218,0.3302752293577982,-0.1267941013899681,-27.641114103013045,0.8051601944660185,36.47569127439884,-0.7577954834378557
exclude_top_1pct,218,0.3302752293577982,-0.1267941013899681,-27.641114103013045,0.8051601944660185,36.47569127439884,-0.7577954834378557
