direction,folds,median_thr,median_tpd,features
Long,7,0.9818102157101216,0.07377049180327869,"failed_new_low,micro_higher_low,lower_wick_ratio,body_atr,range_atr"
Short,7,0.9883004547863056,0.06614785992217899,"body_atr,upper_wick_ratio,failed_new_high,micro_lower_high,ret_6_atr"
