timestamp,direction,label,event_id
2018-01-02 17:30:00+00:00,Long,1,MR00001
2018-01-03 17:45:00+00:00,Short,1,MR00002
2018-01-03 21:30:00+00:00,Long,1,MR00003
2018-01-04 15:30:00+00:00,Short,1,MR00004
2018-01-05 20:00:00+00:00,Long,1,MR00005
2018-01-08 19:00:00+00:00,Short,1,MR00006
2018-01-09 18:15:00+00:00,Short,1,MR00008
2018-01-10 19:30:00+00:00,Long,1,MR00011
2018-01-11 19:45:00+00:00,Long,1,MR00012
2018-01-15 17:30:00+00:00,Long,1,MR00015
2018-01-18 16:45:00+00:00,Long,1,MR00018
2018-01-19 20:30:00+00:00,Long,1,MR00021
2018-01-23 19:15:00+00:00,Long,1,MR00024
2018-01-24 19:45:00+00:00,Short,1,MR00027
2018-01-25 15:45:00+00:00,Long,1,MR00028
2018-01-25 17:00:00+00:00,Short,1,MR00029
2018-01-25 18:45:00+00:00,Short,1,MR00030
2018-01-25 20:00:00+00:00,Long,1,MR00031
2018-01-26 17:15:00+00:00,Long,1,MR00032
2018-01-29 18:15:00+00:00,Short,1,MR00034
2018-01-30 18:00:00+00:00,Long,1,MR00035
2018-01-30 19:00:00+00:00,Short,1,MR00036
2018-01-31 19:00:00+00:00,Short,1,MR00039
2018-01-31 20:45:00+00:00,Short,1,MR00041
2018-01-31 21:45:00+00:00,Long,1,MR00042
2018-02-01 20:30:00+00:00,Long,1,MR00044
2018-02-06 17:30:00+00:00,Short,1,MR00047
2018-02-07 20:30:00+00:00,Short,1,MR00050
2018-02-12 20:15:00+00:00,Short,1,MR00055
2018-02-15 16:00:00+00:00,Long,1,MR00058
2018-02-21 19:15:00+00:00,Short,1,MR00064
2018-02-22 19:30:00+00:00,Short,1,MR00066
2018-02-23 18:00:00+00:00,Long,1,MR00068
2018-02-28 16:45:00+00:00,Long,1,MR00072
2018-03-05 19:15:00+00:00,Long,1,MR00079
2018-03-06 21:00:00+00:00,Short,1,MR00083
2018-03-12 18:30:00+00:00,Long,1,MR00088
2018-03-13 16:00:00+00:00,Long,1,MR00090
2018-03-14 16:00:00+00:00,Long,1,MR00093
2018-03-19 18:00:00+00:00,Short,1,MR00098
2018-03-20 15:45:00+00:00,Long,1,MR00101
2018-03-20 16:30:00+00:00,Short,1,MR00102
2018-03-20 17:45:00+00:00,Long,1,MR00103
2018-03-20 19:00:00+00:00,Short,1,MR00104
2018-03-21 18:15:00+00:00,Short,1,MR00105
2018-03-23 15:45:00+00:00,Long,1,MR00110
2018-03-23 18:00:00+00:00,Short,1,MR00111
2018-03-29 19:00:00+00:00,Short,1,MR00115
2018-04-02 18:30:00+00:00,Long,1,MR00117
2018-04-03 16:15:00+00:00,Long,1,MR00119
2018-04-03 17:15:00+00:00,Short,1,MR00120
2018-04-04 16:45:00+00:00,Short,1,MR00123
2018-04-05 15:30:00+00:00,Short,1,MR00125
2018-04-05 19:00:00+00:00,Short,1,MR00127
2018-04-11 15:00:00+00:00,Long,1,MR00132
2018-04-11 16:00:00+00:00,Short,1,MR00133
2018-04-12 15:15:00+00:00,Short,1,MR00134
2018-04-13 19:15:00+00:00,Long,1,MR00138
2018-04-16 19:15:00+00:00,Long,1,MR00140
2018-04-17 19:30:00+00:00,Short,1,MR00141
2018-04-20 17:45:00+00:00,Short,1,MR00145
2018-04-20 19:00:00+00:00,Long,1,MR00146
2018-04-23 18:45:00+00:00,Long,1,MR00148
2018-04-25 15:00:00+00:00,Short,1,MR00149
2018-04-25 19:45:00+00:00,Long,1,MR00150
2018-04-26 15:45:00+00:00,Long,1,MR00151
2018-04-27 19:15:00+00:00,Long,1,MR00154
2018-05-02 18:00:00+00:00,Short,1,MR00159
2018-05-04 18:30:00+00:00,Short,1,MR00162
2018-05-04 19:45:00+00:00,Long,1,MR00163
2018-05-07 17:00:00+00:00,Long,1,MR00165
2018-05-09 19:30:00+00:00,Long,1,MR00173
2018-05-10 18:30:00+00:00,Long,1,MR00175
2018-05-10 19:45:00+00:00,Short,1,MR00176
2018-05-11 14:45:00+00:00,Short,1,MR00177
2018-05-11 18:00:00+00:00,Long,1,MR00178
2018-05-14 19:00:00+00:00,Short,1,MR00181
2018-05-15 16:00:00+00:00,Long,1,MR00182
2018-05-15 18:00:00+00:00,Long,1,MR00184
2018-05-16 14:30:00+00:00,Short,1,MR00185
2018-05-18 15:30:00+00:00,Short,1,MR00190
2018-05-18 20:00:00+00:00,Long,1,MR00191
2018-05-21 15:30:00+00:00,Long,1,MR00193
2018-05-21 18:30:00+00:00,Long,1,MR00195
2018-05-22 18:30:00+00:00,Short,1,MR00198
2018-05-24 15:00:00+00:00,Long,1,MR00200
2018-05-25 15:30:00+00:00,Short,1,MR00201
2018-05-28 15:00:00+00:00,Short,1,MR00202
2018-05-28 16:45:00+00:00,Short,1,MR00204
2018-05-29 19:15:00+00:00,Long,1,MR00206
2018-06-06 16:00:00+00:00,Short,1,MR00216
2018-06-07 17:30:00+00:00,Long,1,MR00218
2018-06-08 19:45:00+00:00,Short,1,MR00220
2018-06-12 17:45:00+00:00,Short,1,MR00223
2018-06-13 15:30:00+00:00,Short,1,MR00225
2018-06-19 14:30:00+00:00,Long,1,MR00231
2018-06-19 17:30:00+00:00,Long,1,MR00232
2018-06-21 15:45:00+00:00,Short,1,MR00234
2018-06-25 18:45:00+00:00,Long,1,MR00237
2018-06-27 14:30:00+00:00,Short,1,MR00238
2018-06-28 15:30:00+00:00,Short,1,MR00239
2018-06-29 14:45:00+00:00,Short,1,MR00242
2018-07-09 16:00:00+00:00,Short,1,MR00250
2018-07-11 16:15:00+00:00,Long,1,MR00254
2018-07-11 19:00:00+00:00,Short,1,MR00257
2018-07-16 19:45:00+00:00,Short,1,MR00262
2018-07-17 19:30:00+00:00,Short,1,MR00263
2018-07-19 14:30:00+00:00,Long,1,MR00264
2018-07-20 14:45:00+00:00,Short,1,MR00268
2018-07-23 17:15:00+00:00,Long,1,MR00269
2018-07-24 14:30:00+00:00,Short,1,MR00270
2018-07-26 14:30:00+00:00,Long,1,MR00272
2018-07-26 16:00:00+00:00,Short,1,MR00273
2018-07-30 16:45:00+00:00,Long,1,MR00277
2018-07-31 16:15:00+00:00,Short,1,MR00278
2018-07-31 19:45:00+00:00,Long,1,MR00279
2018-08-02 19:00:00+00:00,Long,1,MR00282
2018-08-03 14:30:00+00:00,Short,1,MR00283
2018-08-03 15:45:00+00:00,Long,1,MR00284
2018-08-06 17:15:00+00:00,Short,1,MR00286
2018-08-08 14:45:00+00:00,Short,1,MR00289
2018-08-09 15:45:00+00:00,Long,1,MR00293
2018-08-13 18:30:00+00:00,Short,1,MR00298
2018-08-15 17:00:00+00:00,Short,1,MR00299
2018-08-15 18:00:00+00:00,Long,1,MR00300
2018-08-17 16:45:00+00:00,Long,1,MR00304
2018-08-22 18:15:00+00:00,Long,1,MR00307
2018-08-23 15:30:00+00:00,Long,1,MR00309
2018-08-28 15:15:00+00:00,Short,1,MR00313
2018-08-30 15:30:00+00:00,Long,1,MR00316
2018-08-30 19:00:00+00:00,Long,1,MR00318
2018-08-31 17:15:00+00:00,Short,1,MR00320
2018-08-31 18:15:00+00:00,Long,1,MR00321
2018-09-04 14:30:00+00:00,Long,1,MR00322
2018-09-06 15:00:00+00:00,Long,1,MR00323
2018-09-06 16:00:00+00:00,Short,1,MR00324
2018-09-07 18:45:00+00:00,Short,1,MR00327
2018-09-10 15:45:00+00:00,Short,1,MR00328
2018-09-11 17:15:00+00:00,Long,1,MR00331
2018-09-12 15:30:00+00:00,Short,1,MR00332
2018-09-12 18:45:00+00:00,Long,1,MR00333
