fold,marker_bar_timestamp,signal_type,direction,score,threshold,entry_i,entry_price,stop,target,realized_R,MFE_R,MAE_R,net_R
1,2020-01-08 14:45:00-06:00,MRL,Long,0.9834236890922076,0.9746126690830482,47100,8705.0,8693.728305101737,8733.179237245657,1.5747409915021637,2.0405094537774517,0.22179450584537516,1.5104205848070091
1,2020-02-20 10:00:00-06:00,MRL,Long,0.9806464587480356,0.9746126690830482,49872,9437.0,9425.05230502223,9466.869237444429,-1.0,0.020924538202985624,4.833568324889679,-1.0606811607886617
1,2020-02-20 10:15:00-06:00,MRL,Long,0.977419819409465,0.9746126690830482,49873,9380.5,9366.298568949212,9416.003577626969,-1.0,0.49290807207852905,6.2141624801328845,-1.0510511931795632
1,2020-03-16 14:45:00-05:00,MRL,Long,0.9894575194256839,0.9746126690830482,51382,6719.5,6634.336353841517,6932.409115396209,1.2270493891904648,2.2603541379824352,0.03522629825427172,1.218536367112349
1,2020-05-05 14:15:00-05:00,MRL,Long,0.9931019801211098,0.9746126690830482,54519,8738.0,8722.0312974369,8777.921756407748,-1.0,0.37573497134732436,4.00783969437146,-1.0454013090378014
1,2020-05-19 13:45:00-05:00,MRL,Long,0.985763060594445,0.9746126690830482,55427,9141.25,9123.83990868475,9184.775228288127,2.5,3.187806370170188,0.5456605498489511,2.458357484353633
1,2020-05-28 14:15:00-05:00,MRL,Long,0.9774086013068141,0.9746126690830482,56051,9255.75,9233.300862520045,9311.872843699886,-1.0,0.42317884188124194,1.0468108193904406,-1.0322952274067265
1,2020-06-04 10:00:00-05:00,MRL,Long,0.9801911015926622,0.9746126690830482,56489,9454.5,9438.021179937059,9495.697050157354,-1.0,0.2123938477774272,1.6991507822194176,-1.0439958684681827
1,2020-06-16 09:45:00-05:00,MRL,Long,0.9848469953957026,0.9746126690830482,57216,9630.75,9602.99993900586,9700.125152485352,-1.0,2.459454053611302,1.5765731112892962,-1.0261260687013662
1,2020-06-19 11:00:00-05:00,MRL,Long,0.9756250717140822,0.9746126690830482,57494,9790.75,9773.328390924788,9834.30402268803,-1.0,0.717499741042028,2.9704489279139956,-1.0416149849804364
1,2020-06-19 15:00:00-05:00,MRL,Long,0.9797261322416634,0.9746126690830482,57510,9722.0,9696.180968006085,9786.547579984786,-1.0,1.1038368908144076,2.9435650421717536,-1.0280800612575587
1,2020-07-09 09:30:00-05:00,MRL,Long,0.9816615052460687,0.9746126690830482,58739,10451.25,10432.337801830558,10498.530495423607,-1.0,0.8063578788340015,3.1725555888550874,-1.0383350466986658
1,2020-07-16 15:00:00-05:00,MRL,Long,0.9830331508528142,0.9746126690830482,59216,10320.25,10290.66242894988,10394.2189276253,0.8111514108185857,0.8702978678574408,0.0,0.7866478786167745
1,2020-08-19 13:00:00-05:00,MRL,Long,0.9847412400060864,0.9746126690830482,61392,11180.75,11166.7851049351,11215.66223766225,-1.0,0.4654528351120408,4.797744608077959,-1.0519158931471109
