trade_id,entry_time,direction,entry_price,initial_atr,t5_time,mfe_at_t5_r,t5_result,exit_reason,gross_r
P60-000056,2017-10-05 10:10:00-05:00,SHORT,6019.0,2.142857142857143,,,,M0_STOP,-1.0
P60-000057,2017-10-05 14:46:00-05:00,LONG,6062.75,1.4642857142857142,,,,M0_STOP,-1.0
P60-000058,2017-10-05 18:57:00-05:00,LONG,6063.5,0.25,,,,M0_STOP,-1.0
P60-000059,2017-10-05 19:56:00-05:00,LONG,6064.75,0.23214285714285715,,,,M0_STOP,-1.0
P60-000060,2017-10-05 20:34:00-05:00,SHORT,6063.75,0.3392857142857143,,,,M0_STOP,-1.0
P60-000061,2017-10-05 23:34:00-05:00,LONG,6066.5,0.10714285714285714,,,,M0_STOP,-1.0
P60-000062,2017-10-06 00:04:00-05:00,SHORT,6066.25,0.23214285714285715,,,,M0_TARGET,2.5
P60-000063,2017-10-06 00:16:00-05:00,LONG,6066.75,0.21428571428571427,,,,M0_STOP,-1.0
P60-000064,2017-10-06 01:22:00-05:00,LONG,6066.5,0.3392857142857143,,,,M0_STOP,-1.0
P60-000065,2017-10-06 02:37:00-05:00,LONG,6067.25,0.7321428571428571,,,,M0_STOP,-1.0
P60-000066,2017-10-06 03:12:00-05:00,SHORT,6063.5,0.7321428571428571,,,,M0_STOP,-1.0
P60-000067,2017-10-06 03:43:00-05:00,SHORT,6064.0,0.42857142857142855,,,,M0_STOP,-1.0
P60-000068,2017-10-06 09:38:00-05:00,SHORT,6052.25,2.232142857142857,,,,M0_TARGET,2.5
P60-000069,2017-10-06 09:58:00-05:00,SHORT,6044.0,3.0,,,,M0_STOP,-1.0
P60-000070,2017-10-06 10:41:00-05:00,SHORT,6054.75,1.4107142857142858,,,,M0_STOP,-1.0
P60-000071,2017-10-06 10:51:00-05:00,LONG,6056.25,1.8035714285714286,,,,M0_STOP,-1.0
P60-000072,2017-10-06 11:19:00-05:00,LONG,6057.75,1.6607142857142858,,,,M0_STOP,-1.0
P60-000073,2017-10-06 13:04:00-05:00,LONG,6061.75,1.0714285714285714,,,,M0_STOP,-1.0
