N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,segment,MFE,MAE,target_hit_rate,stop_hit_rate,wrong_direction_rate
279,0.46236559139784944,0.13249543097361113,36.96622524163751,1.2723777528626417,19.952412317796366,1.8527195936436134,D1,1.2237018163176254,0.9286704749071473,0.10752688172043011,0.4444444444444444,0.2867383512544803
279,0.4121863799283154,-0.0621219049016516,-17.332011467560797,0.8836801356479882,45.3961394894191,-0.38179483239099066,D2,1.1542141141981934,1.010321334451959,0.05017921146953405,0.4874551971326165,0.26523297491039427
279,0.41935483870967744,-0.013962472158931124,-3.8955297323417835,0.9738452229922582,24.90183139495001,-0.15643547137387578,D3,1.168986750815143,1.0378232377369838,0.06451612903225806,0.4767025089605735,0.25448028673835127
278,0.4316546762589928,0.019756360998088033,5.492268357468474,1.0365781250004675,16.92048753187751,0.32459279598896096,D4,1.198407924952222,1.050273261445469,0.08273381294964029,0.5,0.3345323741007194
279,0.4265232974910394,0.059344915516448375,16.557231429089097,1.1152442783516645,27.26548831267118,0.6072596697780175,D5,1.2441467613613424,1.037015502815762,0.0967741935483871,0.44802867383512546,0.2903225806451613
279,0.5125448028673835,0.3221996827233738,89.89371147982129,1.7597165503968488,8.020372379323874,11.208171794063187,D6,1.4093444030365918,0.8134940139846009,0.1111111111111111,0.37992831541218636,0.22939068100358423
278,0.49280575539568344,0.3476385699789405,96.64352245414545,1.7564772986060395,10.841203431770097,8.914464437677838,D7,1.5281168207955336,0.8770796800475835,0.1474820143884892,0.4136690647482014,0.20503597122302158
279,0.5232974910394266,0.4496326701719813,125.44751497798278,2.069230028671151,5.962372996938466,21.039863665422647,D8,1.7017574615894835,0.7401791545639441,0.15053763440860216,0.3763440860215054,0.07885304659498207
279,0.6487455197132617,0.8348429453478622,232.92118175205354,3.6975904491180303,4.550200848290103,51.189208898236174,D9,2.0064125049763906,0.6130200870568895,0.21505376344086022,0.27598566308243727,0.035842293906810034
279,0.7347670250896058,1.408956005154788,393.09872543818585,7.474689239850447,4.421043281978427,88.91537593413318,D10,2.7843506951593495,0.3937727601622096,0.43010752688172044,0.1863799283154122,0.0035842293906810036
