year,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
2017,111.0,0.46846846846846846,0.21071560527413136,23.389432185428582,1.4142527465152346,9.49051605624662,2.464505833698448
2018,461.0,0.5010845986984815,0.3665941722998518,168.9999134302317,1.7635999368815796,6.9836628805977625,24.199322951248504
2019,424.0,0.49528301886792453,0.2939581200341055,124.63824289446072,1.6268247111666558,11.463998979087236,10.872143579376385
2020,452.0,0.5265486725663717,0.4596876478600572,207.77881683274586,2.061609500443167,8.642294390316849,24.042089686917986
2021,426.0,0.5305164319248826,0.35338655815653014,150.54267377468184,1.8168737631136938,9.189062911289724,16.3828102199327
2022,439.0,0.5056947608200456,0.3401707778735032,149.3349714864679,1.7459471976297407,6.827069724396168,21.87394848961735
2023,433.0,0.49653579676674364,0.3136561386580734,135.81310803894578,1.7006239963611982,17.42566144228814,7.793856691681046
2024,426.0,0.47417840375586856,0.28528219132482036,121.53021350437346,1.5992204639651137,15.523351515677202,7.828864364865975
2025,413.0,0.513317191283293,0.39852017611324775,164.58883273477133,1.957489958847845,8.585820283032874,19.169843685178048
2026,206.0,0.4854368932038835,0.22762953110773917,46.89168340819427,1.506276024675037,10.516254109747583,4.458972074926382
