N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD,segment,MFE,MAE,target_hit_rate,stop_hit_rate,wrong_direction_rate,top_pct,trades/day
1394,0.5824964131994261,0.6728871277634068,938.004656102189,2.837558702682904,9.223414969765258,101.69819521045162,top_50,1.8862531056310652,0.6873731488180781,0.2109038737446198,0.32639885222381637,0.11047345767575323,0.5,0.8533758671121309
1952,0.538422131147541,0.4912926017934171,959.0031587007502,2.190811416323226,23.51762245131431,40.778065924225906,top_70,1.6959721746703484,0.7893727073193262,0.1762295081967213,0.36885245901639346,0.1680327868852459,0.7,1.1949710850809752
2230,0.5237668161434977,0.4287706843750694,956.1586261564047,2.0030762058286857,35.572714989610176,26.878989316268736,top_80,1.6304298126832564,0.8202036523535683,0.16233183856502242,0.3820627802690583,0.1789237668161435,0.8,1.3651565162554173
2509,0.5113591072140294,0.3741835849696469,938.826614688844,1.8517525253614247,37.91962404355263,24.758331295968375,top_90,1.5774747788541081,0.841344677983481,0.14986050219210842,0.39378238341968913,0.18852132323634915,0.9,1.5359541252398394
2649,0.5081162702906757,0.3666727784614682,971.3161901444291,1.8302356729155904,42.84477954140584,22.670584387200183,top_95,1.5637036437132985,0.8485230078570701,0.14835787089467722,0.39637599093997733,0.19441298603246507,0.95,1.6216590186370405
