population,P_terminal_pos,median_terminal_R,p5_terminal_R,p95_terminal_R,median_maxDD,p95_maxDD,median_losing_streak,p95_losing_streak
baseline,1.0,975.9195706172625,852.1360673966228,1103.3416778151516,14.87049466545038,21.469266978828863,10.0,14.0
filtered,1.0,979.13893483219,876.339134431003,1079.1949082393153,9.586362517790604,13.87134377033149,8.0,12.0
