fold,features,top_simple_features,train_reject_rate,train_spearman_top,ridge_intercept,w_ret_1_atr,w_body_atr,w_body_range,w_ret_2_atr,w_mom_accel_atr,w_ret_3_atr
1,"ret_1_atr,body_atr,body_range,ret_2_atr,mom_accel_atr,ret_3_atr,range_atr,upper_wick_ratio","ret_1_atr,body_atr,body_range",0.4,0.3137866682042013,0.33071153039477064,0.316797360548569,0.5333417906068376,-0.037572269058095874,0.06223990232223637,0.08680757441523208,
2,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,mom_accel_atr,body_range,ret_4_atr,pre_entry_move_3_atr","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.30408259056825393,0.3761100302951255,0.20131616468061103,0.3265364600715242,,0.21224832869882637,0.12710701622142526,-0.07021848229244923
3,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,body_range,mom_accel_atr,pre_entry_move_3_atr,ret_4_atr","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.28709163163396867,0.3702069501095232,0.25943112123209994,0.2782866806776484,0.02928343370352179,0.20418553481726517,,-0.14639019124642197
4,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,body_range,mom_accel_atr,pre_entry_move_3_atr,impulse_margin","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.2894724527065668,0.3638940138140726,0.1892036382232748,0.2899995081506249,0.01968611312580732,0.21295916788015348,,-0.20734327146361697
5,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,body_range,pre_entry_move_3_atr,impulse_3bar,impulse_margin","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.27473416859942407,0.3556386058662368,0.22988250329895726,0.2755267728735525,0.041494367470602096,0.22076941383971857,,-0.4073590863236992
6,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,body_range,pre_entry_move_3_atr,impulse_margin,impulse_3bar","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.26831692625795006,0.3462928733295357,0.22626015006856012,0.2592246716804339,0.05189957887590248,0.21214695247831747,,-0.38264654513529145
7,"ret_1_atr,ret_2_atr,ret_3_atr,body_atr,body_range,pre_entry_move_3_atr,mom_accel_atr,impulse_margin","ret_1_atr,ret_2_atr,ret_3_atr",0.4,0.26868376900228824,0.3512249446021937,0.5219441185269111,0.25230164789793275,0.07355302585694481,0.0025891935795044306,,-0.3633185915360144
